hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,309,143,269,152,97,213,69,93,129,79,89,24,87,37,36,15,3,40,26,54,15,16,10,25,5
1.0,315,147,269,139,118,240,92,96,105,72,87,27,78,43,47,15,4,29,31,52,14,13,22,28,3
2.0,335,167,315,130,126,230,94,102,149,95,107,18,94,53,40,24,0,30,23,45,22,15,13,21,3
3.0,490,253,371,232,134,335,115,149,186,140,144,33,133,60,65,22,5,46,43,90,22,31,18,37,4
4.0,398,167,318,181,97,262,87,106,133,90,93,30,101,50,63,23,2,37,29,84,19,25,14,30,6
5.0,331,164,293,164,111,251,81,140,131,103,112,24,109,57,48,23,5,32,34,72,14,22,24,32,2
6.0,354,164,332,187,118,272,68,106,110,92,111,23,94,43,71,19,7,30,24,62,19,22,17,19,5
7.0,398,189,395,194,135,338,98,129,174,96,93,39,127,76,76,21,4,35,39,96,16,20,14,39,4
8.0,506,208,438,262,149,389,121,155,203,112,135,33,138,108,94,24,9,36,42,101,29,39,24,48,7
9.0,611,235,600,279,162,448,157,204,244,129,170,40,200,150,106,38,6,70,47,128,39,51,36,41,10
10.0,675,236,563,311,198,503,129,175,269,129,174,42,268,132,114,33,10,53,42,118,26,47,23,58,7
11.0,809,295,626,358,186,586,170,212,300,144,213,56,321,134,124,37,14,55,56,134,31,51,40,61,8
12.0,804,294,685,363,225,511,162,265,248,166,218,41,322,154,151,28,4,72,52,195,45,48,34,67,8
13.0,894,389,753,402,269,517,177,279,332,200,275,67,841,108,171,44,5,70,60,221,27,39,49,48,6
14.0,777,480,737,333,228,558,203,228,286,199,209,54,1021,91,159,44,4,82,60,139,34,39,33,63,7
15.0,536,259,469,232,174,424,137,198,225,141,157,48,360,105,101,38,8,42,36,123,26,36,26,59,2
16.0,385,147,330,152,120,280,78,119,145,85,99,27,177,71,85,31,2,37,31,80,11,19,22,24,3
17.0,225,121,184,81,86,177,48,82,95,50,63,11,99,42,47,14,3,21,20,35,11,16,8,27,1
18.0,170,66,139,35,52,158,39,54,68,53,33,8,56,23,26,19,1,15,13,31,10,12,7,16,4
19.0,123,65,95,57,36,123,41,50,65,26,35,9,42,16,20,5,1,17,19,15,5,5,9,9,2
20.0,129,76,112,46,40,111,36,47,54,31,32,10,56,28,15,2,2,16,11,17,6,4,9,8,1
21.0,172,92,116,83,66,131,46,57,72,38,60,16,69,17,18,4,1,16,12,34,7,11,8,16,0
22.0,288,152,246,160,103,204,60,70,113,92,79,18,128,42,53,13,0,25,18,56,19,16,10,18,4
23.0,384,222,309,191,133,289,113,100,165,104,114,42,132,52,42,17,2,54,27,60,21,14,25,25,4
