hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,248,191,133,233,253,76,182,313,242,14,3,9,6,7,10,12,3,0,2,4,7
1.0,263,156,100,204,307,79,194,272,257,20,1,8,6,13,7,17,1,3,1,6,6
2.0,230,208,98,236,286,87,196,249,276,14,3,7,5,8,8,17,0,1,7,7,5
3.0,381,326,165,332,402,145,289,383,362,22,2,12,4,17,15,20,5,4,4,11,6
4.0,249,208,148,274,303,89,231,233,252,19,1,8,3,7,5,16,4,3,4,14,2
5.0,206,166,115,247,262,72,220,203,198,20,3,6,3,13,7,26,6,1,3,9,5
6.0,236,183,122,232,334,114,221,208,237,20,2,6,0,18,6,23,1,4,4,15,11
7.0,283,150,113,289,345,107,246,250,183,24,5,6,4,19,2,20,2,4,7,21,6
8.0,320,198,143,374,394,143,264,305,317,18,2,7,5,19,7,25,1,2,2,16,8
9.0,423,208,210,447,469,146,353,407,448,21,4,4,4,32,12,34,1,4,6,25,16
10.0,431,215,176,380,515,169,341,344,359,28,4,9,3,14,10,26,2,4,7,24,13
11.0,432,232,202,407,531,168,394,388,379,25,4,5,8,15,8,31,3,5,6,17,8
12.0,458,218,241,471,609,200,423,429,418,38,3,4,12,15,5,32,3,6,7,15,9
13.0,545,259,221,468,696,209,492,425,393,38,3,16,6,20,6,32,5,7,5,21,9
14.0,468,230,237,427,621,204,486,391,385,27,5,16,8,17,17,32,3,9,5,25,12
15.0,365,181,160,338,477,125,380,287,265,32,0,8,3,18,3,36,1,5,4,19,8
16.0,184,113,123,175,279,58,196,152,178,17,4,1,2,10,15,19,3,1,3,15,3
17.0,100,64,69,114,187,34,147,83,64,10,2,2,4,10,1,9,0,3,4,17,4
18.0,64,69,38,59,100,20,95,41,37,9,2,2,4,11,5,13,0,1,3,2,3
19.0,55,40,29,45,70,20,67,21,31,3,1,3,0,8,3,6,0,2,1,2,1
20.0,71,74,14,49,72,30,69,23,27,9,0,0,0,7,1,4,1,2,0,3,1
21.0,125,118,40,82,140,42,88,35,53,9,1,2,1,10,5,7,0,0,7,6,1
22.0,198,157,82,170,235,73,148,97,80,11,4,5,1,10,3,5,1,3,2,7,4
23.0,330,171,136,255,292,108,229,150,155,23,2,3,4,11,7,19,1,1,7,7,8
