hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,226,122,132,201,271,79,175,149,132,13,1,6,6,13,7,13,5,1,7,4,1
1.0,228,117,128,188,232,80,214,148,118,16,1,4,4,21,4,19,3,0,14,6,3
2.0,193,111,132,202,256,85,181,125,133,20,4,6,5,10,7,16,4,4,6,13,4
3.0,320,162,212,238,356,130,253,237,211,11,5,10,10,9,6,25,3,3,3,8,6
4.0,235,115,135,218,289,66,174,170,147,18,0,7,4,13,6,14,2,2,8,11,3
5.0,167,108,153,236,252,86,183,163,133,16,3,5,5,19,5,16,1,5,8,9,9
6.0,214,124,101,199,230,71,202,128,134,8,2,4,3,17,4,16,2,3,5,6,8
7.0,221,103,120,202,266,102,232,119,140,15,1,6,2,17,10,14,0,5,7,14,4
8.0,292,131,149,259,329,131,263,174,154,18,3,10,9,11,4,16,1,0,8,9,6
9.0,321,130,157,327,435,129,313,210,214,21,2,7,2,17,4,20,3,0,3,12,14
10.0,346,113,147,308,444,131,298,222,226,31,4,5,4,10,11,20,4,5,10,11,6
11.0,494,124,171,346,531,163,319,243,247,28,2,12,4,19,11,41,4,7,8,16,12
12.0,422,143,239,415,592,178,415,268,307,33,7,10,7,24,16,25,6,5,17,19,13
13.0,488,168,208,405,585,183,450,310,292,22,3,3,7,14,8,37,3,8,11,18,12
14.0,432,128,178,415,505,144,414,293,299,34,5,10,10,13,11,38,5,4,6,18,7
15.0,281,84,148,271,369,104,279,189,200,24,3,6,4,13,7,20,1,3,7,15,9
16.0,134,38,81,131,243,44,161,95,81,14,3,5,1,10,2,12,2,2,4,19,9
17.0,76,43,55,73,134,32,114,36,47,4,1,3,2,5,2,12,1,2,4,6,2
18.0,45,28,44,51,90,23,58,27,24,6,0,2,1,7,3,6,0,2,3,6,2
19.0,41,19,20,40,53,18,58,29,24,8,1,3,1,8,4,3,1,1,4,5,0
20.0,48,53,26,42,64,28,45,24,26,5,0,0,1,5,4,8,0,0,0,1,0
21.0,138,60,41,78,141,38,81,40,38,8,0,3,1,13,0,5,2,0,2,3,1
22.0,227,143,87,201,228,68,160,96,94,7,0,3,6,12,2,10,2,6,6,2,3
23.0,257,136,113,247,285,74,204,140,137,11,7,4,4,14,4,17,2,2,6,3,3
