hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,218,123,97,229,241,89,198,99,112,18,4,3,4,8,7,17,3,1,5,3,9
1.0,224,107,121,220,208,78,183,131,104,21,7,3,4,15,4,11,5,6,6,4,4
2.0,212,143,116,234,224,82,178,136,152,13,4,3,4,12,8,9,4,1,3,14,3
3.0,313,154,169,351,375,122,262,244,243,22,1,7,6,15,3,24,3,2,5,7,6
4.0,214,105,126,320,276,98,184,176,158,15,2,2,7,10,4,19,1,3,9,11,7
5.0,227,83,139,266,232,87,208,156,152,21,1,7,2,12,6,8,4,0,5,12,7
6.0,192,92,119,244,290,74,239,150,134,14,1,1,2,10,7,18,0,4,6,10,5
7.0,234,111,104,278,304,92,238,144,117,22,3,6,1,17,7,15,2,1,6,13,7
8.0,290,124,150,340,381,124,256,199,177,25,3,4,9,15,8,19,0,3,1,14,4
9.0,358,159,165,398,464,162,306,255,224,25,7,5,8,15,7,24,4,4,2,16,11
10.0,393,132,171,398,475,125,333,223,233,22,1,6,4,10,5,25,2,0,6,18,10
11.0,472,146,212,407,586,168,375,263,278,24,6,8,5,13,9,40,1,2,8,19,9
12.0,523,161,231,449,608,172,436,309,311,40,3,13,10,22,11,45,5,5,10,12,12
13.0,464,156,244,449,633,190,460,310,319,28,4,10,5,17,8,32,8,4,7,20,17
14.0,412,129,214,434,567,141,437,315,314,25,4,6,11,23,8,46,4,1,12,16,12
15.0,279,79,162,263,410,116,301,234,184,24,2,3,5,14,9,29,2,3,5,22,11
16.0,146,67,80,142,203,51,158,90,101,15,3,1,4,9,4,18,4,1,4,9,4
17.0,81,48,62,89,146,36,122,48,64,9,1,3,2,6,5,7,0,1,4,5,1
18.0,56,28,29,47,91,17,57,26,38,3,1,0,1,8,2,3,0,0,1,3,2
19.0,42,30,38,46,65,10,47,10,24,5,0,3,1,8,2,6,0,2,3,6,2
20.0,61,46,26,45,64,17,42,19,21,7,1,1,2,2,3,8,0,0,4,2,1
21.0,133,96,59,84,130,48,83,56,54,4,0,0,4,7,2,3,1,1,4,0,1
22.0,266,147,115,182,221,68,131,121,104,14,3,5,2,17,5,11,1,3,2,5,4
23.0,269,157,154,237,339,100,205,161,139,10,3,2,1,11,3,13,1,1,5,5,0
