hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,46,419,44,47,3,92,21,10,49,33,94,39,4,39,15,16,22,9,3,3,0,1
1.0,54,423,58,45,6,106,14,5,57,27,91,33,10,46,12,16,10,7,3,1,0,1
2.0,43,385,58,47,12,96,12,11,62,20,98,29,2,37,21,14,17,14,4,2,2,3
3.0,69,618,105,53,16,162,18,11,77,33,134,43,13,65,42,26,22,10,3,3,2,3
4.0,48,460,80,48,11,99,18,17,63,33,107,32,13,56,22,16,15,16,3,0,2,1
5.0,59,447,74,50,16,99,22,9,64,30,75,29,3,42,18,17,14,10,5,0,1,0
6.0,38,465,101,41,9,72,20,14,62,36,131,36,14,30,12,10,11,21,4,1,1,0
7.0,46,592,146,39,36,85,28,15,79,39,132,28,8,45,19,14,16,27,10,5,2,2
8.0,67,620,165,64,19,97,42,31,98,44,122,30,13,56,29,27,18,31,10,8,3,1
9.0,87,683,199,77,37,110,36,19,96,59,151,40,20,59,41,34,22,24,10,5,5,4
10.0,90,666,184,91,39,132,71,25,111,48,158,40,23,78,41,24,35,25,4,7,5,8
11.0,103,774,200,99,56,149,70,19,111,62,164,34,28,52,53,45,22,25,7,9,4,2
12.0,110,771,255,93,46,140,61,19,118,74,166,40,36,56,54,40,27,36,7,8,1,1
13.0,122,794,222,89,43,163,85,31,107,75,186,47,32,60,36,43,19,41,5,9,6,4
14.0,91,708,220,65,45,152,79,19,123,64,137,32,19,63,33,29,17,29,6,4,4,5
15.0,72,570,160,58,28,106,41,13,95,44,115,24,20,42,32,25,23,20,5,3,5,1
16.0,39,392,105,24,16,68,37,8,60,29,72,14,7,27,14,8,12,12,5,0,0,0
17.0,25,245,64,19,12,39,20,9,31,25,53,12,3,22,7,4,10,7,4,0,0,4
18.0,21,169,35,10,8,42,8,3,31,11,35,14,1,10,3,5,6,6,0,1,1,2
19.0,9,127,29,8,3,45,6,4,12,13,22,9,4,5,7,3,3,4,1,0,0,0
20.0,17,128,33,13,4,33,4,4,14,11,27,8,2,10,5,2,2,3,0,0,1,1
21.0,12,245,33,23,10,48,14,6,32,14,63,15,2,35,9,9,4,5,0,2,0,1
22.0,45,495,51,33,12,72,23,11,49,19,126,27,9,45,9,6,18,12,4,3,1,2
23.0,44,486,59,39,10,98,32,10,51,28,124,24,13,54,25,18,17,16,5,1,4,0
