hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,83,92,25,75,26,33,44,27,37,117,8,15,8,9,8,14,11,3,2,6
1.0,92,86,31,69,33,31,25,30,41,111,13,20,6,7,13,13,24,1,16,1
2.0,87,94,21,89,32,36,28,29,36,123,10,9,12,7,9,11,23,1,5,1
3.0,149,115,36,146,55,51,52,41,60,190,15,19,15,6,14,15,19,1,13,0
4.0,101,85,40,83,44,33,39,45,45,136,6,9,7,6,9,8,12,3,7,5
5.0,104,51,27,61,40,30,38,35,31,124,13,16,13,6,8,14,17,2,7,2
6.0,81,81,21,82,36,32,43,30,47,109,11,12,8,4,11,14,25,2,6,2
7.0,112,63,31,79,59,36,31,45,38,160,14,12,7,3,10,16,16,4,8,3
8.0,125,101,27,95,61,49,57,47,41,182,14,22,9,5,7,12,23,3,4,5
9.0,158,115,42,131,63,45,53,57,55,219,9,12,12,5,12,16,27,2,9,4
10.0,156,105,38,144,66,46,71,42,60,245,8,16,15,2,11,21,37,5,11,4
11.0,167,107,50,147,92,53,64,68,80,292,19,20,19,5,19,20,39,4,9,2
12.0,202,127,50,178,105,51,78,38,80,232,16,23,10,4,16,21,32,6,9,3
13.0,199,133,49,231,83,55,73,62,72,275,19,25,19,10,25,17,29,3,8,7
14.0,197,112,54,206,92,30,85,51,69,244,14,23,18,10,13,21,30,0,7,6
15.0,126,105,36,167,103,41,65,42,63,207,13,18,15,10,24,19,21,2,7,1
16.0,98,51,15,88,45,20,44,21,28,123,7,11,9,4,12,12,12,3,0,3
17.0,81,22,13,46,22,21,34,12,21,69,3,4,3,4,7,11,10,0,2,2
18.0,42,18,11,37,16,16,18,17,9,63,3,10,1,2,3,5,3,0,3,1
19.0,35,19,8,31,9,13,14,12,9,49,4,5,2,1,6,3,6,1,2,3
20.0,36,26,10,21,19,8,5,13,8,37,5,4,7,6,0,7,6,0,1,1
21.0,60,62,20,55,19,13,26,26,12,73,8,7,11,23,4,5,7,2,4,1
22.0,81,146,15,100,36,21,50,28,28,161,12,9,4,9,7,16,24,1,8,2
23.0,112,141,24,115,44,39,48,41,26,172,18,21,15,8,8,13,19,1,7,3
