hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,93,64,26,10,53,53,29,22,27,2,94,12,89,11,25,6,5,6,15,6,27,20,31,47,35,23,23,27,11,5,5,7,7,14,22
1.0,88,89,30,19,72,59,20,19,38,4,111,13,96,7,48,11,3,9,25,4,31,20,30,53,26,23,25,45,7,6,0,5,4,14,13
2.0,93,89,33,26,68,55,23,20,32,10,77,17,75,13,37,5,15,6,22,6,25,29,26,56,29,19,35,37,12,6,1,5,5,8,14
3.0,141,109,45,33,94,70,48,29,46,18,121,20,84,14,77,6,6,8,31,27,36,37,53,112,37,36,56,45,12,6,3,9,10,15,21
4.0,104,99,52,38,61,69,41,24,36,8,99,25,69,10,41,7,12,8,19,10,17,23,36,88,20,23,44,32,13,6,1,4,9,15,11
5.0,113,74,37,16,75,79,33,26,24,6,89,15,60,7,42,10,11,13,23,8,16,21,34,65,24,20,47,30,7,8,1,9,2,17,12
6.0,81,88,51,16,62,56,26,28,33,5,65,21,70,10,40,5,12,17,15,19,18,28,38,73,28,19,70,38,17,10,3,6,5,11,12
7.0,111,88,40,23,62,64,40,33,37,6,78,20,42,8,39,10,7,21,20,19,19,29,42,75,41,10,44,30,11,10,1,8,9,9,13
8.0,132,105,56,29,68,61,57,27,38,12,80,19,53,9,55,15,14,21,25,17,41,24,36,90,31,17,45,34,17,8,3,6,6,19,10
9.0,143,134,54,37,92,98,48,30,48,21,103,22,50,10,70,15,6,18,33,20,29,38,57,125,24,15,59,55,18,9,3,9,18,20,25
10.0,172,149,58,43,86,81,37,38,45,8,107,32,40,9,60,13,10,22,30,26,38,52,70,141,39,23,53,37,17,7,4,9,10,13,18
11.0,200,157,65,33,95,107,62,50,66,7,117,43,53,11,65,18,15,23,43,28,34,44,72,162,50,24,58,47,27,11,3,6,16,21,22
12.0,225,186,63,38,90,123,92,33,69,11,117,59,48,5,82,16,17,22,42,33,28,56,108,180,25,22,74,53,34,7,2,15,20,18,21
13.0,219,188,76,65,111,140,90,35,53,15,129,46,45,9,73,21,20,20,37,38,28,60,126,171,56,20,68,47,42,18,4,9,14,21,40
14.0,223,176,66,53,98,103,50,38,58,10,124,54,53,15,67,21,10,15,43,16,24,70,102,165,40,24,64,68,29,7,5,13,14,21,29
15.0,124,127,39,52,66,87,45,25,43,6,85,32,35,6,40,10,13,20,33,14,23,41,73,97,24,6,40,39,28,9,5,7,15,14,21
16.0,100,87,31,31,56,50,33,10,23,5,48,11,22,7,20,11,14,6,24,12,10,28,58,66,25,8,28,27,15,7,3,5,10,11,15
17.0,60,50,21,18,25,36,19,9,10,2,38,17,16,6,13,6,8,10,11,5,7,27,31,55,14,8,7,12,2,3,1,3,4,9,6
18.0,48,35,8,15,25,26,10,4,9,0,17,4,10,5,14,4,5,2,8,3,6,17,22,33,8,3,6,6,4,4,0,3,0,3,6
19.0,34,29,10,6,17,14,13,5,11,1,16,5,5,4,4,3,9,3,4,1,3,13,11,21,18,1,13,3,4,0,2,1,2,4,2
20.0,38,24,15,6,14,16,8,6,7,2,12,5,8,5,7,3,1,1,6,4,3,14,10,16,10,4,11,12,7,2,0,1,2,2,4
21.0,61,39,20,10,25,26,15,11,9,3,37,8,12,4,18,5,6,4,6,5,5,17,18,26,10,8,18,9,6,4,1,2,5,4,5
22.0,64,66,22,13,41,47,23,19,30,4,34,10,17,8,20,3,6,1,14,9,14,23,27,41,19,14,45,22,7,3,2,6,3,7,11
23.0,113,98,39,20,65,57,36,27,30,5,60,9,32,14,37,13,8,3,29,13,18,30,36,61,39,13,58,33,14,5,3,3,2,9,14
