hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,83,56,27,21,53,45,14,21,14,4,33,18,24,7,22,7,7,9,23,12,17,16,40,56,18,7,22,10,8,1,1,2,5,6,7
1.0,88,62,26,7,56,49,28,18,16,3,40,12,22,12,24,10,8,12,16,13,5,17,41,56,25,12,37,19,8,6,2,8,9,13,9
2.0,94,72,34,15,68,65,22,24,19,5,41,11,20,10,25,8,9,8,13,13,15,21,40,56,20,4,39,18,6,2,3,4,2,18,19
3.0,165,110,40,34,101,86,37,26,31,9,71,29,25,10,36,14,11,20,34,15,15,41,38,107,34,13,68,34,10,10,8,8,11,8,9
4.0,83,79,35,19,70,74,30,28,38,11,44,17,28,10,34,7,7,11,19,12,9,25,40,70,25,11,39,19,9,8,4,5,6,5,11
5.0,90,80,21,25,81,55,31,23,23,5,41,13,29,9,29,8,5,11,22,17,13,31,32,59,25,8,44,21,11,11,3,7,6,5,15
6.0,100,70,36,24,64,69,24,19,24,7,45,18,27,5,32,13,14,11,22,7,15,25,47,78,25,13,40,24,12,4,2,3,9,7,16
7.0,110,88,20,21,86,86,44,31,26,6,65,17,23,8,24,11,12,13,21,12,12,32,36,85,20,10,33,24,12,3,1,8,6,14,16
8.0,140,108,32,30,73,80,40,35,34,6,70,19,25,6,29,11,9,14,26,14,15,35,50,93,31,10,42,31,14,6,5,6,13,21,17
9.0,168,114,45,38,78,76,52,32,38,8,63,41,24,11,41,17,17,20,30,10,19,46,58,144,31,6,42,43,28,10,1,5,7,26,20
10.0,185,153,48,37,85,79,37,30,31,8,77,37,16,12,55,11,10,18,38,25,15,32,74,161,34,15,47,83,22,8,4,4,8,16,16
11.0,195,150,53,50,97,91,72,32,49,13,65,38,38,19,55,18,11,15,46,22,16,65,78,135,31,11,27,43,20,13,4,9,4,23,28
12.0,209,182,53,63,101,117,74,36,58,9,103,61,31,17,57,24,13,17,35,36,20,59,90,165,43,14,59,39,20,12,8,10,17,20,28
13.0,193,193,52,66,129,118,62,40,57,8,105,43,33,18,67,16,17,22,44,25,17,52,98,173,45,18,49,55,30,7,0,6,8,31,30
14.0,190,178,60,50,91,101,61,38,59,7,100,48,30,14,53,15,22,21,51,39,14,61,101,160,34,7,49,44,20,10,3,8,13,23,23
15.0,147,130,43,46,89,94,42,34,34,7,81,33,26,10,38,11,11,20,32,19,13,51,77,139,25,9,26,30,18,7,3,15,7,13,22
16.0,79,64,18,27,55,39,25,15,26,1,35,21,14,8,22,6,7,9,27,17,7,32,52,77,19,11,17,24,9,1,2,6,1,8,17
17.0,71,54,19,26,29,22,20,10,16,1,18,12,8,6,14,7,4,2,14,12,7,20,24,37,14,6,13,15,5,4,3,5,7,3,6
18.0,44,32,9,9,17,25,11,7,11,0,11,4,6,5,9,1,3,1,6,3,6,16,26,17,4,3,7,6,3,1,3,3,4,6,6
19.0,32,19,7,3,18,17,7,4,8,0,10,2,7,5,8,3,4,2,7,5,2,18,11,12,9,2,3,4,3,2,0,1,2,8,7
20.0,33,34,7,8,18,21,12,7,5,2,9,2,6,5,8,5,2,3,2,3,6,6,9,17,4,3,1,6,0,5,1,2,0,3,5
21.0,39,39,21,8,28,18,12,9,16,6,20,3,12,6,6,1,5,3,9,7,4,8,16,23,14,1,4,8,3,3,1,1,2,5,7
22.0,62,64,20,15,34,23,28,17,14,5,33,9,15,7,19,8,8,3,13,7,12,23,33,30,10,5,15,11,11,5,4,3,2,4,7
23.0,106,59,24,24,77,49,30,36,31,5,44,14,21,21,28,10,9,10,19,14,15,36,41,69,21,12,43,28,10,9,5,1,6,9,15
