hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,53,363,50,39,12,81,25,11,46,34,77,22,8,34,15,15,15,10,3,1,2,0
1.0,34,359,53,49,16,62,26,13,51,30,67,18,6,34,18,17,11,9,2,2,3,0
2.0,35,396,58,34,8,80,14,10,49,27,76,26,8,26,13,12,17,12,1,1,1,2
3.0,74,589,107,62,12,100,27,13,66,48,137,31,7,46,30,19,15,14,4,3,7,0
4.0,48,419,69,37,20,114,24,15,74,27,88,36,8,34,22,9,15,13,4,1,2,1
5.0,50,400,90,44,12,65,24,14,57,30,80,23,8,34,14,14,14,15,4,0,3,4
6.0,52,487,94,37,12,77,26,11,80,24,107,27,15,35,17,14,14,17,3,2,6,0
7.0,61,505,140,35,19,86,20,16,85,31,106,36,13,35,27,19,13,19,6,5,0,4
8.0,84,584,195,52,31,97,49,15,70,49,145,31,13,41,22,16,13,23,5,7,2,4
9.0,92,664,212,76,47,123,67,25,94,63,129,41,17,37,36,22,20,24,6,9,3,2
10.0,97,706,216,74,37,119,74,18,96,47,157,36,28,53,45,21,27,32,4,9,6,1
11.0,120,754,256,118,54,135,95,25,83,61,151,41,36,71,50,31,25,41,5,10,3,5
12.0,116,736,256,105,41,121,72,18,117,72,141,35,21,46,46,32,20,31,10,6,6,3
13.0,107,752,241,100,44,134,85,17,117,66,164,35,34,64,45,33,20,34,9,5,4,5
14.0,96,738,208,68,46,130,65,21,93,53,139,40,21,65,35,33,21,29,9,3,2,5
15.0,45,547,169,54,18,88,43,16,63,40,104,39,22,41,26,14,17,22,3,0,1,2
16.0,41,305,91,20,16,63,11,13,39,27,70,16,14,30,11,8,10,14,1,1,1,0
17.0,19,217,73,10,9,37,11,5,26,21,36,8,1,10,4,12,1,8,3,0,3,1
18.0,10,151,38,6,3,31,8,5,22,14,27,8,4,11,5,11,2,5,1,0,7,0
19.0,7,106,30,3,4,26,5,3,15,13,20,7,3,10,4,4,4,2,3,0,9,0
20.0,2,110,18,7,4,33,3,3,16,9,23,8,0,15,9,6,1,7,0,1,1,0
21.0,27,243,36,28,8,42,12,5,26,13,55,14,2,18,6,3,8,4,0,2,1,1
22.0,44,541,48,31,10,66,27,7,48,32,118,21,4,37,11,9,12,8,1,2,1,0
23.0,60,522,63,39,14,80,29,15,45,43,124,20,13,51,16,15,19,14,1,2,3,1
