hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,94,64,27,11,65,40,22,29,20,11,36,20,13,5,22,9,3,7,4,10,16,19,28,61,21,11,33,15,13,6,1,4,4,9,14
1.0,93,75,23,24,61,57,26,30,33,6,40,20,22,12,25,7,10,7,24,17,18,25,27,60,25,7,32,14,11,6,2,7,2,5,16
2.0,100,62,21,18,63,60,30,16,24,6,49,20,27,9,30,9,5,4,24,10,16,21,34,64,29,17,45,21,11,4,3,6,6,11,9
3.0,133,92,33,25,102,74,43,34,41,4,73,22,22,12,31,18,25,10,33,15,15,29,47,133,36,11,44,33,25,12,1,4,11,20,25
4.0,92,71,27,19,61,58,29,16,32,12,51,18,25,6,21,9,8,11,26,8,8,21,43,76,27,13,46,35,12,9,6,5,8,11,24
5.0,94,63,30,20,63,82,24,22,37,1,63,10,15,12,33,9,6,7,20,15,10,33,35,82,22,11,44,23,9,7,4,5,9,7,20
6.0,90,66,24,22,58,62,23,26,24,4,62,17,14,9,30,4,8,13,17,8,12,22,27,60,15,10,47,21,10,8,1,4,5,4,9
7.0,135,78,31,17,60,66,34,29,35,8,62,20,29,7,40,5,9,13,22,10,13,30,26,89,22,11,32,21,5,7,4,4,7,12,11
8.0,132,91,35,19,72,63,30,39,28,7,64,13,25,9,37,3,8,15,33,11,19,32,43,100,27,13,32,26,21,8,4,8,4,20,16
9.0,157,108,54,33,87,88,49,43,29,8,64,37,27,16,53,8,22,18,28,11,13,41,56,139,24,5,41,33,15,9,2,6,6,16,19
10.0,144,113,37,42,93,69,60,47,39,14,65,35,30,13,53,10,6,20,28,19,10,46,52,130,35,12,52,47,19,11,2,5,12,16,15
11.0,183,133,37,32,97,89,60,44,55,9,91,37,32,11,49,10,16,19,32,23,19,59,66,158,39,18,53,42,15,11,1,8,9,15,19
12.0,176,146,73,61,90,108,59,32,43,8,181,102,25,9,74,13,17,10,54,22,24,53,83,169,42,16,54,54,28,11,4,9,15,26,35
13.0,175,158,51,72,79,102,83,50,59,13,127,77,24,8,58,14,16,22,48,15,22,45,95,181,55,16,48,56,45,7,2,6,12,14,23
14.0,199,158,68,69,86,86,63,42,52,10,113,71,22,10,57,18,17,19,32,32,27,71,88,146,49,11,41,51,27,6,4,6,21,12,20
15.0,144,131,41,50,79,68,55,33,36,4,74,43,22,8,51,12,13,9,28,15,23,35,77,117,34,12,26,41,20,3,6,7,8,15,13
16.0,93,103,26,32,46,47,37,21,21,2,49,22,14,3,17,9,6,6,31,16,8,23,42,70,18,3,8,16,9,5,3,3,9,17,12
17.0,65,50,25,20,48,24,18,13,21,1,28,12,18,5,12,5,5,6,19,7,11,22,32,45,5,3,9,13,7,6,1,2,6,8,11
18.0,40,32,9,21,21,19,12,5,8,1,13,6,3,9,11,5,6,5,9,3,5,17,20,39,8,4,5,9,7,1,1,2,1,4,7
19.0,35,22,3,8,18,9,12,6,6,3,16,1,8,3,4,3,4,2,5,2,4,10,17,16,11,6,5,12,1,1,1,4,3,2,3
20.0,49,20,9,11,12,15,13,6,10,0,15,8,7,4,5,3,6,1,3,5,5,7,13,20,9,2,6,10,3,2,2,1,1,8,9
21.0,11,7,3,1,0,4,3,4,4,1,8,3,3,0,1,1,2,2,0,1,0,3,12,1,6,1,1,3,3,1,0,0,0,0,1
22.0,49,65,16,16,43,27,22,8,14,11,24,12,7,8,14,3,6,5,11,5,4,16,29,31,18,11,9,21,4,5,3,3,5,6,12
23.0,99,72,18,33,60,38,19,25,20,4,46,8,26,15,32,2,5,11,16,15,18,24,28,60,20,13,12,30,14,4,3,5,3,10,15
