hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,89,97,46,18,119,39,29,18,36,6,49,10,32,9,39,9,8,3,15,15,19,24,40,58,11,15,35,21,8,3,1,7,7,4,10
1.0,84,68,28,16,164,59,29,21,24,5,37,16,33,11,23,9,9,9,16,9,11,35,29,70,20,17,29,24,11,3,3,7,5,20,10
2.0,105,109,38,20,138,70,19,19,30,1,67,13,23,11,27,8,7,6,10,8,12,26,39,68,24,21,26,22,10,8,4,4,7,12,22
3.0,142,114,55,27,161,90,37,28,43,12,89,18,54,4,50,10,20,14,22,15,20,29,61,81,32,17,46,34,19,12,2,8,4,15,24
4.0,106,99,44,21,128,58,31,26,35,7,89,18,34,5,23,14,6,10,25,10,13,24,46,80,23,19,33,30,14,6,1,9,8,7,16
5.0,98,103,46,18,79,62,21,22,24,3,65,17,30,7,26,5,4,21,19,15,14,30,44,69,15,19,30,22,10,6,3,6,4,10,19
6.0,93,93,43,20,70,80,33,26,26,12,77,15,33,4,21,9,5,11,20,10,11,31,38,77,19,20,34,20,12,3,2,5,6,13,15
7.0,112,81,33,38,83,61,27,38,34,9,96,15,26,10,27,6,6,13,28,9,18,27,49,77,27,10,21,33,13,6,1,4,8,13,13
8.0,127,117,47,17,89,76,33,40,43,13,118,19,38,6,31,14,9,17,27,14,13,46,54,89,21,8,27,36,19,10,3,4,12,22,17
9.0,140,122,64,39,115,82,48,32,48,1,150,32,56,2,60,8,17,18,27,23,28,46,65,123,27,20,33,39,20,7,2,8,7,18,6
10.0,166,133,54,32,118,92,48,54,39,10,109,33,42,13,43,10,15,19,28,13,20,33,61,127,25,20,41,40,27,5,7,6,13,18,12
11.0,202,154,60,51,103,85,59,49,54,13,85,49,38,13,60,11,19,26,36,20,24,51,72,130,40,16,52,33,29,12,3,9,11,25,21
12.0,197,161,59,56,124,104,79,46,45,9,140,55,51,14,59,10,14,21,37,35,27,41,81,145,37,21,42,46,19,6,6,10,15,27,22
13.0,195,190,80,62,101,116,59,39,41,8,126,57,41,24,59,15,21,14,47,29,26,59,77,188,39,20,61,53,30,15,5,7,17,22,32
14.0,183,207,47,67,91,139,74,51,53,12,126,44,37,16,55,25,12,27,40,23,28,67,107,144,44,20,36,43,32,7,5,6,9,17,29
15.0,151,134,55,52,83,80,46,36,39,4,117,48,51,11,41,9,23,15,29,22,22,46,90,120,27,14,38,54,9,5,4,8,9,14,17
16.0,93,76,34,35,54,54,29,17,37,3,66,17,32,4,22,4,9,14,24,11,9,27,48,75,29,7,14,25,11,5,2,6,7,13,13
17.0,68,54,13,19,38,30,25,14,19,2,31,6,12,5,18,2,5,6,11,9,16,25,28,36,10,8,12,13,13,7,1,7,3,8,7
18.0,34,31,11,11,25,19,13,8,12,1,12,8,15,2,7,2,5,4,8,5,2,14,21,23,13,4,10,11,4,4,1,2,0,3,4
19.0,34,30,8,4,16,21,18,5,10,1,26,4,24,5,8,1,5,3,4,1,4,11,26,16,10,5,2,7,3,1,1,1,3,2,8
20.0,38,23,11,6,24,19,14,10,10,0,21,6,13,3,10,3,0,5,5,5,8,10,8,15,6,5,4,12,1,4,3,2,3,2,6
21.0,47,32,16,10,30,19,22,7,12,4,38,6,22,6,11,6,9,3,10,4,11,10,26,28,11,5,6,19,6,5,1,4,1,8,5
22.0,62,57,18,10,38,35,28,16,19,9,67,17,41,4,39,6,5,9,5,10,22,11,30,44,23,11,10,20,5,7,0,3,3,4,8
23.0,104,71,28,21,74,42,24,29,27,5,111,10,96,10,55,11,11,6,16,20,33,31,35,55,30,30,31,38,14,6,3,5,8,13,19
