hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,53,356,56,44,10,80,15,8,51,26,85,25,6,36,15,14,15,10,4,1,4,0
1.0,41,362,55,42,13,68,15,17,52,35,85,29,18,26,18,13,12,14,5,1,4,1
2.0,44,372,49,39,11,80,18,14,39,33,84,21,17,28,14,17,16,4,6,1,1,1
3.0,52,530,92,55,17,122,36,20,79,46,125,28,11,43,19,25,15,18,2,4,4,4
4.0,62,446,73,37,9,86,13,13,61,30,101,28,8,28,13,23,18,17,5,1,1,0
5.0,51,396,54,35,13,72,17,15,58,28,76,25,4,28,13,10,12,19,5,3,2,0
6.0,49,452,103,42,15,87,22,9,49,36,79,29,8,38,12,16,13,13,2,3,1,1
7.0,41,514,121,40,26,73,35,13,48,32,86,24,10,42,22,18,10,26,2,4,2,1
8.0,48,553,146,60,32,78,35,12,59,60,126,17,15,40,25,16,12,28,6,9,3,1
9.0,59,632,219,75,39,107,52,19,86,51,127,37,18,36,40,22,13,31,4,9,6,4
10.0,83,609,183,82,43,94,62,20,84,46,139,37,25,42,30,12,18,23,7,14,3,5
11.0,86,699,207,96,42,149,68,19,106,63,154,27,24,40,50,37,11,33,9,6,3,2
12.0,103,710,218,95,54,113,76,17,108,58,151,33,29,41,44,23,23,19,4,5,3,5
13.0,123,730,214,96,40,141,71,21,100,61,151,36,15,43,47,21,16,23,10,6,2,5
14.0,96,637,222,64,38,119,53,18,97,65,149,27,30,49,39,27,25,31,5,1,3,5
15.0,50,495,127,44,33,85,31,13,78,42,93,19,23,34,21,23,16,20,4,4,4,1
16.0,43,336,80,28,14,57,24,4,33,19,63,18,6,19,15,12,6,17,3,0,2,1
17.0,11,200,60,13,9,52,7,9,32,25,37,18,6,19,7,5,8,6,2,0,1,2
18.0,17,158,35,10,6,30,5,4,21,13,24,10,1,13,5,7,5,9,1,0,2,0
19.0,4,125,32,9,3,31,5,4,13,16,18,12,3,10,5,4,4,4,2,0,1,0
20.0,12,114,19,5,10,39,10,2,13,9,19,9,3,9,4,2,1,3,1,1,1,0
21.0,21,193,45,17,5,45,13,6,16,8,55,13,2,22,11,3,5,5,1,2,0,0
22.0,37,443,59,31,14,70,26,8,39,21,91,16,7,37,15,14,6,7,3,3,0,0
23.0,52,499,61,42,13,77,22,14,41,27,100,17,8,49,17,7,7,10,3,0,0,0
