hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,106,113,41,87,49,30,31,35,21,152,9,15,14,10,8,5,16,3,3,3
1.0,137,127,33,94,70,40,46,37,33,138,10,25,5,7,12,19,13,1,3,5
2.0,138,104,43,101,48,48,44,41,34,141,18,24,9,9,9,11,21,2,4,0
3.0,139,117,64,103,49,66,52,43,37,137,4,13,19,9,12,20,25,0,4,2
4.0,128,108,59,101,53,48,48,36,32,146,10,18,15,4,13,16,14,3,1,4
5.0,131,77,49,80,44,60,52,39,32,131,15,18,7,5,7,14,20,5,4,3
6.0,115,81,49,93,50,49,43,41,36,139,12,12,8,7,17,14,26,0,5,3
7.0,135,80,45,88,56,39,47,59,38,171,11,25,12,3,18,14,25,1,17,4
8.0,164,99,57,124,71,53,58,46,51,197,16,15,15,7,10,9,27,4,8,3
9.0,194,109,41,131,67,63,76,45,47,208,16,21,13,7,12,11,19,0,5,5
10.0,229,111,44,157,80,44,77,56,46,256,14,24,9,6,22,16,29,4,5,1
11.0,368,141,56,200,98,45,74,54,71,259,22,21,23,6,15,18,31,5,9,4
12.0,578,180,58,202,116,55,87,79,76,302,24,44,9,9,25,25,30,6,6,3
13.0,626,167,52,248,139,58,87,74,81,262,29,31,18,12,29,20,37,2,8,9
14.0,593,114,49,242,113,52,93,58,76,244,30,26,14,8,21,24,36,6,18,9
15.0,495,99,41,206,92,49,64,44,46,172,19,17,12,7,18,16,28,3,6,5
16.0,225,61,26,93,54,35,59,30,23,127,10,17,5,7,16,10,9,1,1,1
17.0,183,33,21,58,38,16,29,24,19,87,3,8,5,1,5,9,7,2,7,3
18.0,92,19,13,32,23,13,17,16,12,54,2,5,1,0,2,2,7,2,3,0
19.0,73,10,12,21,14,16,13,12,10,55,4,4,2,2,4,11,4,0,1,3
20.0,84,22,7,27,17,13,16,8,9,41,2,2,6,9,6,5,5,3,1,1
21.0,132,64,18,61,26,14,24,12,9,84,4,8,4,11,7,10,11,1,1,0
22.0,172,160,23,125,26,19,39,33,22,155,8,8,8,11,2,9,19,0,4,1
23.0,216,155,31,98,52,31,46,47,35,171,16,17,9,11,12,15,17,2,5,0
