hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,255,95,142,271,265,88,218,144,116,22,3,5,5,13,5,17,2,1,4,10,12
1.0,239,123,140,301,343,95,227,172,161,12,3,4,3,13,7,23,1,5,6,6,6
2.0,271,88,152,331,348,102,220,152,173,22,4,5,4,15,3,18,1,5,3,4,6
3.0,301,133,150,336,318,113,225,149,172,18,4,11,2,23,6,24,4,3,6,2,6
4.0,250,102,131,345,299,94,220,258,188,26,4,10,1,18,10,17,5,3,8,10,10
5.0,253,135,124,314,327,95,235,188,176,18,1,4,3,17,9,19,2,4,5,12,14
6.0,235,107,128,263,276,105,207,163,163,37,4,4,4,20,8,11,2,5,4,13,15
7.0,265,153,143,344,306,91,240,180,194,17,4,7,15,16,5,22,2,1,3,9,14
8.0,299,153,158,313,372,95,242,185,178,19,2,5,1,18,5,18,3,0,6,16,10
9.0,341,192,155,338,403,112,325,194,230,19,7,7,5,12,7,18,2,4,10,16,11
10.0,330,160,166,334,392,121,289,219,231,26,5,7,7,13,15,21,1,4,4,8,10
11.0,421,196,211,397,557,176,376,290,274,27,3,10,6,16,15,26,0,3,9,22,15
12.0,520,185,229,449,667,143,436,328,315,28,5,12,7,19,17,39,1,6,5,19,19
13.0,487,185,285,483,595,166,454,301,331,28,5,6,11,8,6,42,4,7,5,20,10
14.0,398,149,278,614,516,156,447,445,391,33,3,4,5,16,18,44,2,3,6,24,27
15.0,293,103,215,485,423,106,384,272,242,28,5,9,7,16,10,33,5,6,9,26,14
16.0,148,85,102,158,243,55,198,114,110,18,4,3,6,8,4,31,2,4,4,9,0
17.0,80,45,52,64,124,23,117,61,70,17,3,0,2,6,2,9,2,1,4,11,0
18.0,68,33,40,36,79,18,73,37,30,2,1,0,1,5,1,2,0,0,1,3,2
19.0,36,36,31,27,55,12,57,16,22,5,2,1,0,4,0,3,0,1,4,5,1
20.0,61,56,29,48,67,19,61,16,22,6,0,0,1,6,3,6,0,2,2,0,2
21.0,106,80,60,104,127,39,84,43,51,6,1,2,3,6,7,3,0,0,1,3,2
22.0,204,147,96,255,193,71,156,105,92,21,2,3,4,11,4,5,1,1,3,8,6
23.0,259,172,136,296,298,85,216,142,133,16,2,8,4,16,7,12,3,2,4,3,5
