hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,51,396,45,32,11,79,18,13,49,22,86,30,14,37,18,13,14,18,2,1,0,3
1.0,65,463,61,40,16,99,31,17,70,33,98,25,7,38,22,19,15,18,2,1,0,1
2.0,62,503,77,60,18,106,21,20,55,44,104,25,7,51,11,20,22,24,3,2,3,3
3.0,72,531,93,40,12,105,35,15,74,38,124,48,9,40,27,18,27,20,4,2,2,2
4.0,63,502,129,50,10,92,35,14,75,40,106,27,16,45,16,25,16,24,3,1,4,1
5.0,69,529,122,49,18,73,27,16,78,45,118,25,9,47,17,13,17,21,3,2,3,2
6.0,65,523,136,43,23,80,42,9,84,34,106,17,13,33,12,21,19,11,5,3,5,0
7.0,65,571,167,64,40,99,47,21,94,51,103,19,15,35,25,18,15,19,10,5,0,1
8.0,78,554,213,63,41,89,45,25,72,59,122,29,22,49,18,24,17,19,3,3,1,1
9.0,79,626,232,74,43,99,62,15,100,62,111,37,23,41,37,34,23,15,8,3,4,3
10.0,78,592,179,75,36,99,57,24,103,38,143,27,31,28,31,24,24,21,2,9,2,2
11.0,99,657,220,56,46,114,66,20,91,47,147,29,26,42,41,23,22,34,3,5,3,4
12.0,102,664,223,88,46,107,79,35,108,57,140,28,28,46,37,43,30,29,9,6,5,3
13.0,109,734,268,92,61,121,80,30,106,64,159,35,23,59,30,36,17,35,7,7,4,3
14.0,86,716,255,79,52,122,65,21,111,58,141,31,23,48,44,13,18,35,6,8,4,3
15.0,71,591,205,62,30,113,43,14,76,49,118,29,17,44,17,26,24,22,3,6,4,1
16.0,48,429,119,38,13,73,30,13,49,33,96,27,17,26,16,15,9,16,6,1,4,2
17.0,36,298,58,18,14,50,15,4,34,23,50,8,1,14,12,6,16,11,0,2,2,1
18.0,13,186,57,10,13,39,8,8,26,16,38,9,6,12,9,5,2,6,3,0,1,2
19.0,21,139,33,12,2,35,5,4,19,12,24,4,4,9,6,6,3,9,0,0,4,1
20.0,11,133,27,15,8,32,6,2,7,10,23,9,2,14,2,6,3,4,1,1,0,0
21.0,19,176,39,12,7,48,10,13,24,14,44,11,2,20,9,4,4,4,0,4,1,0
22.0,33,314,40,33,13,56,19,6,22,14,68,18,3,22,10,4,9,3,1,6,2,2
23.0,50,377,53,31,17,81,23,12,42,24,79,20,4,34,14,12,10,8,1,2,1,0
