hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,307,207,305,143,97,251,95,85,121,89,100,23,130,42,50,17,2,44,21,56,18,17,15,19,4
1.0,347,204,294,162,110,232,119,98,137,104,105,19,136,47,55,25,7,36,16,54,20,18,17,38,10
2.0,368,213,278,194,109,247,95,105,98,94,112,20,110,45,51,13,4,36,31,61,8,19,17,32,5
3.0,572,293,390,316,181,370,157,135,177,141,153,47,211,64,93,24,3,50,39,97,42,23,31,41,5
4.0,433,189,361,215,107,293,108,119,166,121,141,27,135,56,71,19,6,60,18,78,24,26,21,36,7
5.0,389,172,379,208,146,282,116,108,157,126,112,30,120,53,72,29,2,50,37,58,16,14,20,25,4
6.0,435,169,405,206,117,271,144,105,159,122,117,37,172,49,52,23,4,57,33,80,23,18,17,43,3
7.0,459,218,394,238,116,323,114,133,197,114,126,38,137,85,90,22,3,48,31,78,14,30,23,28,7
8.0,542,205,502,283,145,392,158,160,207,132,135,54,196,108,75,23,6,53,30,98,33,42,31,41,7
9.0,631,290,614,342,160,446,220,186,273,164,159,44,219,135,121,28,5,70,44,123,33,38,35,51,3
10.0,640,257,597,347,240,471,230,212,239,147,168,45,253,120,128,31,11,60,36,137,31,43,23,58,5
11.0,759,317,662,364,253,571,235,213,308,166,183,62,238,149,133,30,8,111,53,171,43,47,33,59,11
12.0,813,286,719,406,233,523,227,260,266,168,209,50,283,112,152,41,11,86,39,174,37,31,31,73,8
13.0,775,291,760,364,248,521,262,266,299,177,204,58,279,105,138,41,4,99,57,174,41,44,34,57,8
14.0,743,303,691,321,225,546,253,240,309,203,222,64,275,106,152,43,9,77,58,163,41,41,43,71,15
15.0,569,217,445,265,160,397,159,208,266,128,149,30,185,91,104,30,3,52,54,133,23,18,20,63,11
16.0,325,130,332,137,117,250,101,135,152,91,106,21,119,65,60,30,6,36,26,70,21,15,25,27,6
17.0,197,116,207,54,79,216,62,86,97,65,66,16,60,42,57,23,0,23,18,47,10,10,7,21,2
18.0,157,84,149,63,49,115,56,59,54,39,44,10,36,28,28,11,4,8,13,21,5,6,7,20,2
19.0,143,77,93,43,38,110,32,46,62,27,29,10,28,16,21,13,3,15,13,14,11,4,14,14,1
20.0,136,80,86,49,39,89,40,31,47,29,29,10,19,22,9,5,2,11,13,22,5,6,1,7,0
21.0,171,98,133,78,66,137,51,45,72,44,55,22,42,22,19,9,2,20,14,31,11,12,8,16,0
22.0,268,105,247,166,82,184,75,81,99,80,100,21,87,37,52,13,3,30,17,62,18,8,9,14,5
23.0,369,202,311,189,126,267,106,102,138,107,137,33,111,40,58,19,0,43,28,70,19,15,13,21,3
