hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,360,160,278,168,120,249,77,89,138,80,105,23,104,54,34,21,4,31,20,57,21,20,17,32,6
1.0,424,202,325,210,149,322,97,112,154,81,124,23,118,63,59,17,3,48,23,91,29,20,13,31,7
2.0,426,198,317,192,136,267,106,139,155,105,121,29,125,66,56,22,4,28,23,76,30,25,24,26,4
3.0,476,213,405,205,153,316,110,164,191,111,130,22,156,74,74,22,9,36,31,92,31,31,18,36,7
4.0,446,144,388,185,149,274,97,144,151,111,122,30,146,59,68,24,7,30,31,87,41,29,24,26,6
5.0,422,169,393,175,140,289,87,147,183,95,110,35,116,62,67,31,4,26,23,82,12,21,21,33,5
6.0,389,183,410,183,128,290,88,134,159,79,124,22,136,60,77,35,6,46,28,78,25,20,17,25,6
7.0,433,197,358,182,143,333,102,133,177,94,139,40,155,69,76,22,5,37,32,79,25,23,28,38,7
8.0,468,211,452,219,177,335,108,169,218,122,144,32,143,87,81,21,6,26,32,98,18,31,27,31,2
9.0,510,218,544,234,185,470,114,176,234,113,152,36,171,127,100,21,2,44,33,108,26,31,19,39,8
10.0,493,247,504,214,185,434,118,181,225,114,160,30,188,127,87,27,7,59,45,122,19,46,27,47,8
11.0,707,273,518,275,208,550,137,203,267,122,170,41,210,123,105,21,5,48,42,134,29,39,25,33,4
12.0,688,353,552,264,238,531,132,209,246,127,203,42,230,120,124,26,6,70,37,157,34,46,24,54,10
13.0,782,282,616,323,274,548,112,239,293,137,195,41,239,91,134,39,8,57,38,144,25,37,30,63,8
14.0,670,264,575,286,217,512,145,214,291,121,219,42,228,97,126,34,2,47,50,137,26,33,28,57,5
15.0,557,237,495,223,229,477,100,189,220,136,172,30,219,101,105,33,6,50,37,107,28,22,30,53,4
16.0,390,164,388,158,176,328,86,159,157,73,116,17,140,65,87,18,3,39,27,83,24,17,14,42,2
17.0,279,126,246,92,119,254,66,91,122,55,65,21,71,49,46,26,4,30,23,55,9,10,12,20,3
18.0,156,78,162,48,77,158,47,77,80,34,52,14,49,41,46,12,0,10,21,45,9,10,15,13,1
19.0,147,91,126,57,48,123,29,38,59,40,31,9,34,20,20,6,0,18,12,32,10,7,7,16,2
20.0,133,75,95,38,43,105,29,31,56,20,35,13,29,17,18,5,1,8,9,17,6,8,5,8,1
21.0,131,91,114,51,51,112,38,62,64,40,43,8,39,25,21,7,1,16,11,18,3,5,6,7,3
22.0,188,98,135,80,66,145,56,65,71,57,65,16,44,26,17,10,0,13,15,41,9,7,4,12,3
23.0,299,152,222,156,110,250,84,100,142,66,116,25,93,38,29,5,4,26,30,69,20,12,12,17,3
