hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,264,184,91,217,283,92,201,117,92,13,3,3,3,15,4,13,3,1,7,5,3
1.0,260,174,88,209,277,87,193,119,118,21,3,4,1,8,5,13,2,0,11,16,9
2.0,235,163,81,200,306,76,217,104,109,19,2,4,2,14,9,17,2,3,6,7,7
3.0,393,224,138,245,465,152,330,173,184,32,2,7,7,11,5,22,3,1,10,11,2
4.0,277,201,126,189,338,128,246,133,143,17,1,6,4,9,6,15,3,4,7,16,5
5.0,249,158,131,217,316,112,286,88,104,23,4,7,5,12,5,30,3,2,5,10,4
6.0,294,173,109,198,359,126,235,125,88,22,5,8,7,13,4,16,2,2,8,15,5
7.0,309,168,122,228,344,103,255,113,110,20,4,3,6,20,6,15,4,3,4,10,6
8.0,352,222,137,260,428,144,288,193,161,19,1,6,2,9,6,22,1,2,9,10,6
9.0,475,268,176,338,537,168,405,197,230,29,1,8,11,22,7,29,4,4,6,16,6
10.0,501,204,187,325,534,165,398,210,233,32,4,7,9,21,12,26,1,3,7,23,90
11.0,538,189,204,345,597,242,411,244,255,32,8,13,9,18,15,34,2,2,7,15,13
12.0,521,209,217,347,672,236,483,240,263,33,3,8,7,15,15,34,2,3,7,18,15
13.0,554,204,234,406,648,229,477,269,299,37,3,7,14,25,11,41,3,6,8,22,14
14.0,523,218,234,361,653,199,443,255,305,37,1,10,7,26,14,51,3,4,5,24,7
15.0,297,119,139,299,445,116,355,167,206,30,4,3,6,13,9,33,6,2,4,26,8
16.0,169,97,104,148,252,72,201,101,114,21,4,3,6,6,7,17,5,6,3,7,7
17.0,91,74,64,78,155,30,101,53,51,11,0,3,2,10,7,14,2,2,2,5,5
18.0,72,45,42,51,133,19,70,30,27,7,1,0,0,6,2,6,1,2,3,8,1
19.0,47,37,32,31,66,28,54,17,25,4,2,1,1,8,4,8,0,0,1,5,1
20.0,65,44,22,36,78,12,53,26,22,7,1,1,3,8,1,7,0,2,2,2,4
21.0,175,116,51,78,131,41,105,43,45,7,2,0,3,6,1,2,2,1,0,6,2
22.0,277,159,92,149,251,83,180,113,85,20,1,5,5,6,3,8,4,1,3,6,3
23.0,339,176,143,237,344,100,208,138,156,23,1,7,10,13,7,21,1,8,5,11,4
