hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,328,231,142,157,378,141,276,88,80,20,3,6,6,13,3,17,0,2,6,7,2
1.0,326,247,134,148,345,124,250,103,115,18,7,8,5,17,1,20,3,1,6,9,4
2.0,293,224,121,169,356,107,283,107,117,16,5,8,2,9,11,11,2,0,8,8,7
3.0,438,315,187,234,613,205,436,203,216,39,5,6,7,13,6,33,4,3,9,17,9
4.0,394,225,170,149,513,149,405,153,147,24,1,9,7,12,2,31,3,0,6,9,2
5.0,310,203,146,188,435,153,303,146,144,24,5,9,7,15,6,10,4,3,5,8,4
6.0,330,199,133,187,439,160,359,124,115,25,1,8,5,10,4,18,3,0,5,9,7
7.0,369,308,156,175,419,138,335,133,131,33,5,6,6,15,3,26,2,5,7,16,7
8.0,458,313,184,254,574,205,433,190,208,20,6,11,5,6,7,32,6,3,5,9,6
9.0,711,325,246,292,985,267,623,306,306,53,1,12,8,15,8,39,4,5,4,16,6
10.0,1282,407,345,291,1682,561,1083,278,237,78,7,17,17,12,9,60,3,3,13,23,8
11.0,1142,342,374,320,1501,494,992,290,281,75,4,23,16,17,9,47,7,3,11,30,13
12.0,1108,400,366,346,1377,473,989,271,292,68,10,20,17,14,11,57,9,3,9,22,6
13.0,1006,380,378,362,1229,458,936,326,313,69,9,14,13,13,7,59,6,4,10,30,17
14.0,850,341,312,356,1126,379,806,280,302,55,9,14,10,14,14,54,3,5,15,30,10
15.0,483,290,225,228,692,198,526,191,201,48,3,6,4,9,13,41,2,4,16,16,7
16.0,223,159,145,118,337,91,272,111,93,26,3,6,7,4,3,13,0,1,8,10,2
17.0,126,92,71,65,183,52,170,42,53,8,2,0,3,12,3,7,4,3,3,5,3
18.0,87,57,47,42,88,30,97,24,27,5,3,2,1,5,2,8,0,1,7,6,2
19.0,74,58,32,35,106,23,81,15,31,4,3,3,0,3,5,3,0,0,2,9,1
20.0,150,107,52,51,117,34,86,31,21,6,1,3,1,6,2,4,0,0,1,1,4
21.0,264,243,92,81,229,99,213,48,40,15,2,6,5,11,1,13,0,0,5,11,2
22.0,546,522,173,130,547,228,404,118,96,27,6,8,4,11,2,45,5,5,11,13,2
23.0,601,481,212,169,623,290,533,163,142,34,3,13,5,15,5,29,7,1,4,10,6
