hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,40,402,42,39,9,94,19,13,61,27,103,25,4,43,12,14,11,13,3,2,4,0
1.0,44,383,54,32,15,77,21,11,68,28,94,13,13,34,16,11,11,16,2,3,1,0
2.0,53,374,81,36,10,58,17,5,53,24,111,24,12,43,13,12,11,9,2,1,1,1
3.0,70,605,94,48,18,111,36,8,96,33,141,33,7,57,36,27,23,24,6,5,4,3
4.0,44,506,89,35,12,89,25,13,65,35,106,14,7,35,31,16,10,16,4,1,2,1
5.0,49,448,99,35,16,76,19,15,65,36,93,21,12,34,8,19,17,17,2,1,4,2
6.0,57,485,134,36,17,81,26,15,65,36,104,28,13,29,22,16,14,17,4,2,6,4
7.0,56,560,168,35,32,79,28,12,69,39,119,22,12,43,22,28,16,20,3,3,0,2
8.0,81,652,200,62,34,99,44,12,90,52,143,34,24,44,31,27,16,28,5,7,2,3
9.0,97,666,258,74,50,113,48,24,104,50,132,35,18,55,56,32,18,33,12,9,1,3
10.0,112,693,237,73,56,105,88,37,99,46,153,28,30,54,33,22,26,37,2,8,7,5
11.0,108,689,259,91,51,128,97,39,90,56,166,39,37,46,38,28,20,29,8,3,5,1
12.0,103,696,283,90,59,128,80,20,102,72,149,46,27,50,34,24,22,22,10,6,3,3
13.0,98,677,261,99,49,134,97,16,98,63,147,36,31,69,44,17,18,23,9,7,5,3
14.0,79,653,270,72,46,139,86,29,71,80,159,38,26,53,45,18,19,32,6,7,4,4
15.0,80,548,190,64,29,117,42,15,69,50,105,28,18,34,15,17,18,31,5,1,2,2
16.0,47,402,118,23,19,85,27,13,55,25,59,22,17,20,25,17,8,8,3,2,3,1
17.0,23,286,65,22,13,49,19,8,36,19,47,7,6,11,6,11,8,11,1,1,1,3
18.0,16,205,46,15,7,36,8,2,22,11,32,9,2,20,7,4,4,8,2,0,2,1
19.0,15,165,33,4,7,43,9,8,12,14,24,9,4,14,11,5,3,5,1,1,1,0
20.0,7,131,21,8,5,33,10,5,14,11,24,10,4,13,8,1,3,8,1,0,3,0
21.0,21,188,46,19,15,35,8,5,16,13,41,14,1,24,9,5,5,4,2,2,2,2
22.0,28,364,46,22,10,52,19,8,34,15,86,16,5,38,7,5,10,10,2,2,0,2
23.0,43,460,63,47,13,52,21,21,64,30,101,23,5,30,15,14,11,11,4,1,1,4
