hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,449,386,181,152,450,187,390,143,121,26,6,15,6,7,3,22,2,2,7,5,3
1.0,369,351,184,151,434,154,373,133,133,19,1,12,4,12,7,19,5,3,7,5,3
2.0,397,393,178,171,478,160,382,133,122,32,4,12,8,3,11,17,2,1,4,11,3
3.0,614,589,285,224,854,262,608,244,235,44,5,17,8,6,8,35,9,2,9,12,3
4.0,444,365,189,178,581,201,536,201,188,45,6,11,7,8,9,22,1,4,7,16,10
5.0,407,417,180,168,490,261,511,187,160,36,4,10,9,12,6,20,3,1,9,10,5
6.0,434,461,192,160,527,200,416,159,162,24,1,16,3,12,7,32,5,3,3,11,2
7.0,456,330,195,247,579,239,504,211,226,37,3,7,6,21,5,21,3,4,2,8,11
8.0,537,392,253,241,810,255,604,178,193,43,2,12,8,17,3,20,0,2,5,10,5
9.0,699,368,289,269,931,362,754,211,248,58,5,10,11,7,8,39,6,0,12,24,5
10.0,692,321,283,242,851,340,758,220,204,47,2,13,9,16,7,29,3,2,11,15,4
11.0,754,264,297,276,891,353,701,231,226,51,5,10,7,24,8,44,3,2,10,27,13
12.0,734,282,360,349,969,350,777,247,251,52,10,15,5,17,10,38,2,0,4,17,13
13.0,745,290,355,331,874,321,753,284,266,50,10,29,11,14,10,48,4,6,11,32,13
14.0,588,246,317,299,789,298,643,233,249,48,7,16,8,19,4,53,3,5,7,25,15
15.0,432,228,209,250,542,193,483,166,168,40,7,9,5,11,7,20,2,1,9,25,5
16.0,236,134,143,122,323,81,263,96,116,17,5,4,4,12,3,23,0,6,3,15,5
17.0,133,82,77,64,200,54,162,51,58,12,2,2,4,7,3,16,1,4,1,13,0
18.0,77,76,52,47,113,27,92,33,35,5,3,4,5,3,4,6,0,1,1,6,6
19.0,73,46,29,45,90,29,72,23,26,4,1,2,2,7,5,10,3,3,2,2,2
20.0,51,51,26,37,99,40,72,25,22,4,0,0,1,3,4,6,0,0,3,0,0
21.0,166,99,60,44,143,61,132,36,39,10,4,3,4,7,0,10,1,2,2,4,2
22.0,259,171,131,90,258,105,216,46,65,21,0,12,5,6,8,7,2,1,4,6,4
23.0,356,159,179,161,390,161,337,93,115,24,5,9,4,12,5,15,2,3,5,7,8
