hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,118,103,12,84,40,18,30,24,19,118,12,11,5,8,8,11,17,3,4,3
1.0,98,95,19,72,38,20,33,32,34,138,4,16,10,4,11,12,9,2,3,3
2.0,94,92,30,895,33,28,29,31,26,125,13,16,13,7,14,13,13,1,6,2
3.0,174,103,31,106,73,55,40,47,38,165,13,11,19,2,6,15,28,3,5,6
4.0,129,86,27,73,37,34,40,29,25,133,16,21,15,10,3,7,20,2,4,1
5.0,109,78,34,288,43,39,44,50,28,124,10,13,10,5,7,10,20,1,4,3
6.0,124,72,30,59,40,33,39,45,27,125,6,11,4,7,8,7,19,1,3,4
7.0,141,81,24,549,46,39,33,32,28,176,16,9,9,6,7,10,14,3,2,0
8.0,142,98,35,106,53,35,34,47,35,211,9,15,12,4,10,16,25,3,10,2
9.0,173,123,34,127,56,45,59,55,49,247,13,17,11,12,14,9,28,2,7,5
10.0,157,150,51,160,67,53,69,48,59,239,9,13,15,8,12,11,33,2,3,5
11.0,191,134,59,170,74,58,81,55,63,290,17,24,16,7,22,16,19,2,5,6
12.0,216,137,56,961,115,43,75,52,73,366,29,22,18,8,23,16,14,4,8,5
13.0,203,142,66,219,109,65,93,66,101,307,21,30,22,15,22,26,22,2,14,7
14.0,183,131,45,187,119,53,82,61,78,277,23,23,22,3,31,19,31,2,15,3
15.0,163,95,35,150,110,39,69,56,39,224,21,23,26,9,16,18,16,1,6,2
16.0,94,56,24,78,66,27,53,25,63,137,7,10,10,1,5,17,14,0,5,3
17.0,83,35,18,38,28,16,34,18,18,93,9,6,5,2,7,3,7,3,3,0
18.0,53,24,17,25,16,13,12,18,13,53,3,3,2,0,7,1,1,1,0,0
19.0,41,20,10,26,20,12,15,10,8,48,1,5,4,2,2,1,5,0,1,1
20.0,31,22,7,38,22,15,17,8,10,54,5,4,11,1,1,10,6,3,0,0
21.0,64,55,5,60,26,26,24,16,21,76,4,8,4,18,2,9,10,1,7,1
22.0,104,158,15,105,27,20,42,32,14,165,3,12,9,14,5,11,20,2,4,2
23.0,160,134,33,112,55,35,56,35,26,152,11,24,12,8,10,19,22,3,7,2
