hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,79,91,28,35,47,56,28,21,23,13,58,14,47,7,41,9,11,10,15,22,18,18,33,64,24,30,28,16,11,6,1,8,1,8,10
1.0,81,74,39,23,38,55,33,14,40,12,67,17,37,12,30,9,6,10,19,9,11,18,38,62,19,23,28,19,7,7,0,5,7,8,14
2.0,92,85,31,15,45,73,30,23,35,13,65,22,33,14,38,6,6,12,19,12,16,23,43,68,33,17,35,25,7,7,2,5,12,10,15
3.0,126,118,41,33,71,73,46,32,38,19,100,24,48,14,71,9,22,21,36,20,20,36,61,125,32,24,73,35,21,10,3,4,10,19,14
4.0,123,108,45,31,56,67,47,27,41,19,73,23,46,5,38,14,4,23,20,12,16,19,56,82,23,28,54,26,16,7,3,7,2,10,11
5.0,91,97,37,26,53,71,44,29,14,9,61,16,39,13,41,10,8,11,20,8,22,23,37,93,17,23,71,36,6,7,1,8,9,9,18
6.0,79,103,32,27,59,53,28,20,30,10,59,24,43,10,30,10,10,16,20,9,24,26,50,92,23,15,54,20,10,6,1,2,6,11,6
7.0,103,96,36,25,50,67,36,26,40,10,69,20,32,9,44,18,10,18,20,10,15,24,59,93,34,25,38,26,12,9,4,2,8,7,11
8.0,113,114,46,30,59,68,47,26,41,13,79,37,53,9,77,14,14,14,28,10,29,34,54,89,25,33,62,38,16,4,4,6,13,16,16
9.0,136,137,58,36,71,91,64,30,59,30,213,39,79,6,402,10,22,21,32,43,50,43,70,180,41,77,57,34,30,13,1,9,8,21,28
10.0,154,257,102,39,79,121,116,75,95,53,497,70,250,12,1403,15,18,23,21,71,138,43,116,197,57,186,88,63,31,15,6,5,24,18,14
11.0,186,249,122,60,99,128,107,38,81,23,426,67,251,14,1081,10,22,24,35,52,146,49,92,207,55,171,80,67,32,20,3,7,24,23,22
12.0,170,236,102,72,88,121,123,31,90,32,431,62,267,18,1094,21,15,17,40,66,182,56,112,212,39,202,77,69,28,15,1,12,20,25,26
13.0,193,288,84,78,107,111,110,48,105,27,451,58,311,13,898,14,16,22,43,64,159,62,133,216,51,183,75,89,26,21,8,16,28,18,35
14.0,159,289,94,63,82,103,95,27,84,21,371,51,226,9,675,20,22,26,37,52,125,72,115,206,42,159,50,58,28,15,14,12,15,26,24
15.0,142,143,53,68,56,90,74,25,71,13,209,47,179,12,342,12,15,12,31,32,95,35,78,130,44,81,37,57,21,4,8,8,13,9,17
16.0,104,103,37,30,68,45,37,12,24,5,119,20,79,7,189,11,7,9,21,20,41,21,55,65,25,55,17,30,13,3,2,6,9,6,9
17.0,52,55,33,18,27,28,16,5,14,3,60,15,46,7,89,6,6,8,11,11,17,18,26,49,15,36,9,18,1,3,1,3,8,8,9
18.0,38,39,16,10,20,17,26,8,11,1,41,6,26,4,47,5,4,5,9,7,17,11,24,34,10,15,6,15,3,4,1,3,0,2,3
19.0,29,20,13,9,18,20,13,11,7,2,43,5,29,5,56,2,5,2,3,11,20,12,17,21,6,15,8,8,6,4,0,3,5,5,6
20.0,42,22,10,12,16,13,14,7,8,2,57,5,45,7,116,2,3,1,6,7,28,9,17,23,12,40,5,15,7,2,1,2,4,6,2
21.0,44,57,16,9,26,21,13,10,14,4,105,10,86,0,218,7,3,4,7,13,42,8,23,34,12,55,11,21,6,6,4,1,2,5,3
22.0,52,106,38,17,35,40,40,21,47,15,199,17,165,3,517,7,6,4,10,29,107,17,33,58,26,82,25,29,10,15,4,3,5,5,10
23.0,116,131,50,24,56,54,47,26,50,8,293,16,247,11,622,9,10,7,18,26,138,20,49,73,36,126,38,44,21,15,1,11,6,13,19
