hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,326,144,271,171,90,217,71,75,117,73,79,26,62,43,44,13,1,30,34,58,21,16,21,24,4
1.0,325,150,300,162,100,236,81,93,158,81,117,19,92,42,63,16,2,24,25,62,13,17,12,31,3
2.0,331,170,309,147,109,240,82,101,120,72,104,21,90,45,59,12,4,28,11,59,29,20,15,39,9
3.0,542,207,385,218,164,318,132,159,201,112,151,29,166,77,69,20,5,38,31,86,27,25,19,41,2
4.0,377,143,353,161,124,277,72,120,144,83,132,12,93,37,60,16,5,34,19,82,24,15,20,24,5
5.0,350,171,321,150,111,242,96,97,140,80,98,20,86,51,63,12,4,34,24,65,30,13,23,36,2
6.0,394,138,344,171,95,242,88,107,147,88,98,20,119,44,65,13,6,36,20,58,26,16,25,31,6
7.0,431,175,373,170,117,319,98,121,177,96,97,20,116,67,86,21,8,31,34,75,24,27,17,43,9
8.0,442,178,478,194,148,403,103,164,183,94,145,38,122,125,94,24,2,42,29,82,24,35,22,33,3
9.0,584,228,492,280,162,443,128,198,232,114,168,44,160,121,103,35,5,48,33,117,29,32,28,51,3
10.0,572,210,528,263,169,455,121,211,232,141,152,50,194,137,115,31,6,38,48,152,20,45,21,45,6
11.0,697,264,611,301,237,535,139,198,303,123,173,38,183,161,130,32,7,57,34,166,36,37,11,61,7
12.0,776,250,697,327,249,513,153,212,262,148,213,36,197,131,132,33,9,55,65,159,37,41,35,70,9
13.0,721,313,671,327,267,517,161,258,293,138,225,57,241,97,137,43,6,70,50,159,34,31,23,72,5
14.0,639,267,605,264,211,510,127,211,265,156,185,46,223,111,139,40,2,39,62,162,23,20,42,61,14
15.0,447,182,464,205,186,372,94,187,195,88,122,30,148,73,113,31,5,30,48,102,14,28,24,46,7
16.0,304,118,306,125,121,248,81,103,129,88,78,13,63,37,67,11,5,24,29,70,15,15,19,31,2
17.0,191,85,195,61,98,169,47,64,90,51,62,9,64,48,30,13,2,11,19,44,8,6,16,17,3
18.0,136,75,130,63,45,149,35,48,60,28,40,8,38,26,32,9,0,9,17,19,7,5,12,14,3
19.0,132,69,94,44,71,118,27,48,65,22,39,13,25,21,17,10,3,7,14,22,12,8,7,10,0
20.0,123,53,86,38,47,97,31,39,43,24,20,12,22,13,24,10,2,9,12,23,5,9,9,9,1
21.0,168,89,122,79,87,132,34,51,84,37,54,14,38,21,23,6,2,16,21,34,5,9,9,12,2
22.0,264,121,221,124,139,173,66,76,101,55,98,20,85,35,40,18,3,13,19,70,14,17,12,28,4
23.0,356,160,270,163,161,270,69,95,161,74,131,30,103,57,52,21,6,33,36,73,16,15,19,22,5
