hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,382,161,249,175,125,280,78,117,153,87,95,28,116,50,42,13,4,32,26,67,23,13,12,26,1
1.0,370,210,314,198,135,308,108,101,161,89,122,29,118,61,55,17,2,28,25,77,21,27,17,23,4
2.0,431,210,298,192,146,301,100,113,170,100,129,24,142,65,65,26,2,39,25,64,19,25,23,24,4
3.0,439,177,536,230,151,336,113,128,172,106,167,38,156,65,89,29,2,38,23,97,26,33,20,29,5
4.0,423,193,383,227,149,294,89,130,159,100,135,34,141,48,72,18,3,45,32,90,15,16,16,36,2
5.0,406,217,357,176,129,320,89,133,206,103,124,31,152,69,65,19,3,35,34,93,19,21,17,27,2
6.0,397,195,371,195,155,304,88,133,199,79,133,42,142,70,69,26,1,37,26,82,22,24,15,23,5
7.0,450,196,416,208,167,400,99,146,202,126,150,28,145,91,102,26,4,42,28,94,17,38,17,32,3
8.0,511,211,440,223,149,410,109,156,181,85,126,27,135,102,101,26,4,49,30,73,21,36,20,45,7
9.0,527,242,445,232,168,417,122,159,244,141,154,42,176,131,89,29,7,42,29,99,28,35,27,39,7
10.0,570,258,467,242,197,486,116,175,233,107,157,43,177,119,90,34,6,39,45,124,32,46,18,47,3
11.0,669,264,557,266,223,538,140,202,267,149,190,36,235,141,111,34,11,55,46,152,42,39,19,58,6
12.0,729,240,752,304,244,489,137,219,263,131,181,46,232,103,141,36,6,57,53,134,27,40,23,48,10
13.0,725,271,636,302,249,526,138,201,296,138,229,63,292,119,143,35,9,61,37,155,31,42,25,53,9
14.0,662,254,575,288,210,515,158,235,284,133,201,54,269,103,105,44,10,56,42,158,39,43,22,54,15
15.0,618,220,465,226,213,394,117,191,240,137,170,42,237,83,124,27,5,43,36,116,35,35,30,54,9
16.0,407,141,318,125,142,313,97,116,173,85,96,21,123,62,106,28,1,27,30,76,14,15,31,26,8
17.0,286,108,222,90,100,175,58,128,100,63,60,17,116,53,56,15,1,29,19,73,13,16,16,28,0
18.0,202,85,148,51,55,145,31,47,54,38,50,12,54,30,27,7,2,15,16,23,11,12,7,15,0
19.0,130,78,98,51,41,130,35,48,58,22,34,10,41,23,28,4,0,9,17,33,8,8,10,10,2
20.0,120,65,82,37,42,95,39,32,53,38,28,10,45,11,15,7,2,11,10,18,11,4,5,11,1
21.0,155,99,114,63,45,116,35,47,63,36,42,12,33,24,21,12,2,14,7,35,8,8,10,13,2
22.0,178,95,115,86,76,143,45,71,75,44,64,15,56,27,20,17,0,21,12,44,11,8,17,20,3
23.0,297,178,216,117,98,237,79,94,126,67,117,20,78,54,37,19,3,31,31,53,18,20,18,19,2
