hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,146,100,17,87,29,22,33,41,21,130,12,16,11,10,3,9,22,1,2,2
1.0,143,89,31,85,42,21,32,32,24,134,8,16,11,12,8,9,14,2,5,4
2.0,122,79,21,72,36,38,42,36,23,107,7,11,7,6,10,11,12,0,3,1
3.0,194,114,37,140,52,46,60,45,50,169,6,20,16,15,15,9,23,2,9,2
4.0,137,84,33,94,49,34,50,37,32,168,13,16,10,8,13,9,10,2,7,2
5.0,131,72,24,102,36,34,32,53,24,134,16,19,7,4,12,10,20,1,3,2
6.0,159,86,18,106,37,36,36,29,35,129,3,11,10,6,6,18,15,1,5,5
7.0,133,60,25,119,34,29,47,43,28,176,9,18,12,7,5,10,21,2,2,1
8.0,179,106,30,160,54,36,48,53,32,222,13,15,17,9,15,11,26,0,9,5
9.0,229,125,37,190,55,47,64,65,40,290,10,18,18,8,17,11,25,6,11,2
10.0,215,126,45,210,78,55,56,66,51,280,15,26,21,6,16,20,23,2,12,2
11.0,224,142,50,246,92,61,64,63,65,332,11,28,21,11,19,26,39,3,9,5
12.0,266,155,53,234,114,68,78,51,76,298,16,17,9,7,33,11,47,5,5,1
13.0,246,171,43,344,112,78,84,56,76,310,14,36,25,6,26,17,44,5,7,3
14.0,241,135,55,277,101,53,97,64,78,332,18,39,16,7,22,21,49,4,7,8
15.0,174,187,45,202,67,32,60,55,56,268,16,23,11,6,20,18,27,2,13,5
16.0,122,60,16,103,49,27,55,27,36,156,14,19,9,1,10,10,7,0,6,3
17.0,103,51,11,76,19,25,29,24,19,96,3,9,4,2,3,4,3,1,3,1
18.0,48,20,16,32,19,12,16,13,9,55,3,3,4,2,6,3,4,2,2,2
19.0,55,20,9,37,19,18,16,17,9,48,1,12,1,1,6,5,7,2,1,1
20.0,41,30,7,29,26,13,18,16,12,48,3,5,2,4,5,7,7,2,1,0
21.0,56,76,16,56,29,24,26,24,19,98,8,3,4,22,6,6,7,3,4,0
22.0,87,183,22,122,33,25,46,25,31,175,7,16,6,59,4,14,14,0,3,1
23.0,146,163,21,146,36,44,50,51,27,188,13,18,13,74,2,8,14,4,5,3
