hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,52,427,48,35,12,61,21,9,49,32,102,25,9,45,12,12,9,9,5,0,2,4
1.0,50,440,44,38,9,63,11,15,54,30,99,17,5,45,13,12,14,13,2,0,1,1
2.0,41,444,58,27,10,59,11,9,60,23,86,30,12,30,22,11,9,15,4,0,2,1
3.0,75,637,91,48,20,106,32,25,85,44,160,26,9,66,25,17,18,18,6,3,4,3
4.0,62,480,84,46,7,76,17,9,50,33,128,24,9,46,14,13,16,12,4,0,1,1
5.0,47,506,80,47,10,83,19,10,54,26,124,27,10,35,17,16,13,12,3,1,1,3
6.0,63,473,99,39,18,75,22,14,59,36,104,25,8,46,10,14,16,22,3,3,1,0
7.0,59,630,142,45,31,71,31,13,84,40,128,22,7,46,13,22,13,38,4,4,3,2
8.0,75,686,175,64,32,85,47,13,105,39,143,26,11,66,22,19,17,34,5,7,2,3
9.0,84,700,238,80,38,126,55,21,95,52,157,39,15,54,35,26,23,33,8,12,1,2
10.0,128,732,215,79,39,111,71,20,108,58,126,32,22,54,30,33,20,32,10,8,3,6
11.0,126,716,237,76,47,123,67,24,107,69,184,46,30,51,33,23,17,40,6,5,5,2
12.0,97,799,252,108,57,139,75,16,110,71,170,45,37,42,44,30,26,36,14,8,5,5
13.0,129,860,259,102,36,140,76,28,128,73,183,30,30,60,43,27,21,36,12,12,4,5
14.0,97,821,245,77,39,152,62,21,91,74,192,40,23,57,35,24,17,38,6,3,1,2
15.0,74,621,151,52,29,112,50,14,78,46,131,22,15,34,36,15,12,26,5,3,6,1
16.0,34,406,100,23,15,71,26,13,52,35,75,13,12,21,18,12,17,16,2,0,4,0
17.0,14,239,51,19,8,32,13,7,28,21,61,7,4,18,8,4,4,12,2,0,0,0
18.0,12,154,38,14,4,40,5,9,19,17,34,9,2,16,6,4,1,3,1,0,0,3
19.0,10,135,28,7,3,42,3,7,17,5,27,5,2,10,6,4,4,1,4,2,1,2
20.0,12,125,34,11,4,28,9,7,19,13,26,9,1,9,4,3,2,3,1,2,0,0
21.0,22,303,39,26,9,44,16,10,26,11,57,15,1,33,12,0,6,5,2,1,0,1
22.0,61,726,59,32,5,65,25,12,68,21,156,36,5,59,6,11,15,12,4,4,2,2
23.0,65,600,73,43,14,100,25,19,59,38,146,31,8,71,20,18,15,10,5,5,1,0
