hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,135,118,22,81,38,33,51,30,28,115,7,13,7,8,11,17,9,2,6,0
1.0,137,113,38,91,69,61,49,30,27,141,13,18,7,8,16,20,35,2,6,4
2.0,142,117,34,75,50,43,52,30,39,146,11,16,13,3,10,15,31,4,5,3
3.0,122,123,39,129,62,56,55,45,34,164,16,13,13,8,14,15,27,0,11,0
4.0,144,84,31,103,42,55,36,25,36,141,7,12,15,11,15,15,28,1,4,2
5.0,118,80,36,86,44,57,47,28,34,141,9,16,13,6,9,11,25,1,7,7
6.0,106,83,35,74,46,42,48,30,30,154,12,13,14,6,9,12,19,0,6,4
7.0,145,70,38,96,61,45,34,30,32,145,13,18,7,2,11,15,14,3,7,3
8.0,135,112,32,94,70,47,57,34,47,178,9,18,23,9,13,15,19,2,8,3
9.0,142,93,40,107,60,46,62,48,43,202,18,21,19,9,8,18,19,4,6,3
10.0,135,95,38,107,87,37,57,38,37,226,13,15,15,3,7,45,30,3,7,2
11.0,167,121,43,128,107,53,68,51,52,264,13,15,17,7,18,25,27,4,5,5
12.0,171,151,34,172,110,47,78,59,85,253,13,26,23,5,26,19,25,7,4,7
13.0,184,149,55,179,106,58,79,38,87,247,14,36,12,4,29,15,20,4,7,2
14.0,157,149,54,195,111,44,83,43,58,229,17,24,22,8,39,57,27,4,25,6
15.0,146,130,37,162,88,35,68,52,53,187,9,13,9,11,21,17,22,0,7,8
16.0,115,58,31,92,69,27,38,27,36,176,18,12,8,4,10,11,19,0,4,4
17.0,109,31,15,46,49,17,36,30,34,105,3,10,5,2,13,4,11,2,1,2
18.0,56,27,9,33,22,19,22,15,12,69,3,8,6,1,2,3,3,2,1,1
19.0,40,16,12,27,14,26,14,23,9,59,1,8,1,4,4,5,3,2,2,0
20.0,42,30,14,37,14,14,12,11,4,52,3,4,3,2,1,5,3,0,0,2
21.0,54,52,9,40,24,16,23,7,5,58,6,5,2,5,1,16,6,0,2,1
22.0,42,118,18,66,26,22,27,16,19,102,5,9,7,10,4,18,37,2,8,0
23.0,104,130,30,98,41,37,31,51,16,145,8,20,9,9,9,11,37,2,11,4
