hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,208,180,84,162,217,75,154,127,121,14,0,11,5,14,3,10,3,2,7,6,5
1.0,194,162,114,217,216,67,163,141,106,15,0,3,6,19,2,9,1,2,3,3,7
2.0,183,142,109,204,256,64,178,149,129,10,2,7,6,14,8,15,2,0,2,7,9
3.0,323,197,150,259,345,121,227,257,240,24,1,6,1,7,9,12,4,12,13,6,6
4.0,208,168,112,227,239,77,233,162,184,14,2,4,2,11,5,14,1,2,4,8,8
5.0,208,131,122,198,258,93,193,159,152,15,4,5,2,17,3,19,2,3,7,9,9
6.0,174,116,115,199,235,87,189,163,137,20,2,3,5,17,3,18,1,0,5,9,5
7.0,214,152,114,269,277,101,226,185,189,12,2,5,7,24,2,14,6,4,2,15,11
8.0,333,181,138,349,399,94,276,210,203,20,5,10,5,16,8,34,1,3,3,17,8
9.0,399,180,171,419,585,165,345,289,291,45,2,5,5,17,10,33,3,7,9,18,17
10.0,602,164,186,387,595,176,401,324,316,28,3,8,4,21,6,44,4,2,7,25,9
11.0,610,159,212,403,632,203,425,334,298,38,4,7,3,26,7,61,5,2,6,21,12
12.0,644,206,266,452,798,246,492,414,414,53,7,11,10,7,7,50,4,8,7,17,9
13.0,670,191,227,463,775,275,548,417,426,36,11,9,8,24,10,45,4,6,8,26,17
14.0,534,177,216,500,666,197,493,483,583,41,5,10,8,23,13,35,4,8,12,18,11
15.0,343,159,196,292,475,156,347,378,373,20,3,3,8,19,7,28,2,2,9,17,10
16.0,149,83,95,191,249,69,205,159,185,21,4,4,4,7,4,21,3,4,4,10,4
17.0,91,45,51,76,130,32,101,72,99,7,2,3,2,9,4,12,1,1,2,5,3
18.0,49,56,36,53,88,22,61,34,53,6,0,1,0,9,5,12,0,0,1,5,1
19.0,52,41,20,38,74,21,49,31,27,6,1,1,0,7,0,7,0,1,3,1,2
20.0,74,61,26,46,60,18,49,60,36,7,1,2,1,10,3,7,1,0,2,1,0
21.0,142,124,52,104,138,49,103,147,91,20,2,2,3,8,6,12,0,0,4,4,6
22.0,272,229,80,257,235,73,185,362,296,13,7,4,6,7,1,7,3,2,6,9,6
23.0,307,210,140,241,326,119,242,417,302,22,6,3,2,13,11,20,4,2,4,11,7
