hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,92,89,15,82,40,34,27,25,24,120,12,12,13,14,6,6,17,1,1,2
1.0,121,92,19,74,31,32,37,37,35,110,17,14,12,8,9,12,12,2,1,1
2.0,121,70,30,86,34,38,38,31,25,118,15,17,13,8,7,5,19,0,5,3
3.0,149,123,39,147,52,52,60,43,27,175,9,28,20,5,10,20,35,3,2,3
4.0,128,69,31,85,51,43,44,37,33,131,16,18,13,6,10,13,17,1,7,1
5.0,121,59,44,92,39,37,42,28,26,129,12,14,16,3,13,14,12,1,3,0
6.0,114,82,37,81,48,35,38,27,26,119,9,15,10,1,9,5,16,1,2,3
7.0,107,77,30,66,49,45,40,39,42,146,11,14,10,8,10,7,20,2,1,1
8.0,137,75,41,109,59,34,60,35,42,186,16,15,13,7,20,7,25,4,7,2
9.0,182,100,41,121,83,49,56,42,62,236,21,21,13,4,14,16,25,3,5,5
10.0,175,114,37,130,72,48,59,52,54,237,16,23,18,9,12,19,26,2,5,5
11.0,178,102,58,150,87,74,67,58,70,247,12,24,18,8,20,14,30,6,10,7
12.0,190,165,46,216,92,58,84,56,80,257,26,19,21,13,21,18,34,3,12,3
13.0,218,161,55,199,111,73,109,61,67,257,13,18,26,13,21,19,29,5,9,4
14.0,189,131,51,219,115,48,89,59,82,252,20,23,22,8,22,22,29,4,11,5
15.0,144,97,34,149,87,66,56,47,47,214,6,16,19,6,12,13,28,3,9,6
16.0,105,52,27,73,61,26,37,26,38,135,4,18,7,2,10,13,8,3,3,2
17.0,84,22,22,62,33,23,36,17,19,80,5,10,6,0,4,6,8,3,5,2
18.0,41,23,7,34,31,11,18,24,6,45,2,5,1,2,3,5,6,1,2,0
19.0,38,9,17,28,17,16,20,11,10,61,2,6,3,0,2,5,8,1,1,2
20.0,38,30,12,18,20,12,13,13,19,44,3,7,6,3,5,5,7,0,5,0
21.0,74,59,20,52,30,16,21,28,10,75,5,5,11,18,3,10,14,1,2,0
22.0,102,121,26,89,40,29,48,34,18,143,13,14,8,14,5,6,33,1,4,2
23.0,129,118,36,114,27,24,50,43,34,165,13,15,7,13,6,9,22,3,2,2
