hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,327,165,244,144,114,215,81,83,143,69,112,26,82,41,38,15,4,38,27,49,20,24,22,26,12
1.0,366,175,296,158,112,244,107,105,142,83,91,20,81,44,60,16,4,42,30,44,15,15,20,27,6
2.0,331,140,289,142,111,243,110,82,115,88,99,26,83,37,52,17,2,54,24,51,21,19,15,40,5
3.0,524,237,409,247,163,288,137,146,200,123,123,32,106,61,87,29,4,52,34,111,37,35,22,55,4
4.0,382,168,333,164,122,286,81,122,155,81,99,30,105,54,72,20,6,48,17,76,35,21,21,57,3
5.0,383,141,306,151,131,301,98,105,181,94,104,29,95,42,59,21,3,35,25,68,28,21,22,52,5
6.0,393,149,360,167,130,261,99,113,129,71,85,25,94,45,68,23,5,31,17,68,31,16,18,40,7
7.0,397,159,378,155,128,331,99,114,142,87,102,29,106,82,89,17,1,33,45,70,30,23,18,38,4
8.0,566,226,470,194,120,447,120,166,196,80,120,21,126,105,96,25,5,54,36,83,24,23,24,44,9
9.0,653,243,578,270,174,492,163,169,246,135,156,46,170,102,124,32,6,54,35,126,34,32,32,56,8
10.0,698,236,575,254,175,476,136,176,243,129,144,46,160,148,120,31,7,59,46,120,35,47,22,62,5
11.0,732,314,631,283,240,535,131,221,310,131,162,40,198,147,128,26,10,71,50,142,31,57,29,69,8
12.0,766,338,605,350,242,553,160,192,297,130,212,49,214,125,119,38,5,59,47,146,30,32,25,79,9
13.0,786,321,654,324,284,533,158,262,299,156,211,53,237,106,159,38,9,89,66,136,43,39,30,70,5
14.0,692,345,682,292,251,506,150,213,297,166,201,54,228,129,153,39,5,55,47,132,43,40,28,74,11
15.0,474,229,495,195,208,411,111,176,170,104,132,35,177,117,112,34,5,44,54,100,28,30,37,63,6
16.0,301,134,310,105,120,247,80,114,119,75,82,19,110,52,57,23,2,29,30,76,14,18,15,55,5
17.0,232,96,207,71,92,182,51,63,112,58,64,10,63,31,52,10,1,28,23,40,12,8,12,18,0
18.0,157,73,138,49,57,149,34,44,53,26,47,10,45,33,29,6,0,16,20,22,4,11,11,17,3
19.0,131,83,108,37,44,118,32,30,65,30,36,3,24,26,26,8,0,8,11,22,11,2,18,10,1
20.0,134,71,89,45,37,86,39,43,62,26,39,4,30,15,23,4,0,19,15,17,3,3,6,9,1
21.0,210,108,121,85,58,129,43,50,83,44,51,13,48,25,32,11,2,15,14,34,13,8,5,8,1
22.0,279,122,223,117,79,217,87,85,94,61,77,27,73,36,44,7,2,32,22,53,21,7,10,19,4
23.0,382,210,297,168,137,275,90,90,141,86,122,24,84,55,54,11,3,41,28,67,24,16,18,19,3
