hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,84,60,33,20,75,32,21,26,20,11,41,5,25,5,24,6,9,7,17,14,13,27,35,66,21,11,36,25,13,3,2,3,3,6,22
1.0,81,62,23,25,43,49,23,27,19,6,31,8,21,4,31,7,4,12,16,9,12,19,27,66,23,11,41,23,9,3,3,4,2,10,11
2.0,89,69,29,23,59,73,22,20,27,7,68,9,36,10,46,9,4,8,22,9,7,29,39,61,26,17,34,20,11,4,2,3,4,10,17
3.0,130,95,44,21,68,85,45,36,54,15,92,18,39,16,74,9,10,12,31,20,17,44,55,132,32,25,81,43,15,10,7,13,4,19,20
4.0,115,71,31,20,53,68,31,31,34,7,60,15,28,13,44,16,13,8,18,15,11,18,45,110,17,24,48,28,15,8,3,8,3,11,18
5.0,121,64,33,22,67,61,23,26,28,6,48,21,21,14,32,9,8,13,23,9,14,28,41,67,24,13,45,25,15,4,3,7,6,11,8
6.0,94,90,33,12,59,74,31,23,19,10,72,20,30,10,38,8,10,15,31,11,21,23,47,96,23,18,48,34,15,4,1,12,6,10,12
7.0,111,73,33,18,61,59,29,39,31,8,65,31,35,5,40,11,11,10,24,7,17,27,59,95,24,10,44,31,7,8,2,8,9,11,12
8.0,130,91,38,23,57,62,41,27,24,8,72,30,16,8,60,10,8,17,26,17,20,41,53,113,28,9,30,34,15,7,5,6,5,17,12
9.0,170,122,59,41,86,69,65,36,38,16,103,79,37,9,62,15,19,14,36,19,21,39,51,178,28,24,50,39,16,4,5,9,6,20,16
10.0,152,128,55,38,70,60,58,40,54,21,95,58,35,7,65,7,17,10,31,27,24,46,93,193,26,28,55,41,16,5,4,11,9,20,18
11.0,171,799,46,37,83,74,66,46,42,11,104,58,39,16,60,15,12,23,30,36,25,52,434,180,31,17,43,39,21,4,6,8,8,10,27
12.0,154,231,65,63,80,93,71,44,35,10,118,77,36,8,45,12,8,6,35,26,20,51,130,182,37,13,38,49,34,8,4,13,12,33,38
13.0,174,223,78,54,94,91,89,39,44,9,113,78,52,10,59,16,16,25,34,31,22,58,117,197,36,38,48,55,31,6,4,8,9,19,25
14.0,182,183,74,63,90,81,62,35,42,4,111,44,37,16,54,13,12,15,48,32,29,51,105,157,42,21,50,49,36,7,9,14,12,23,28
15.0,166,164,49,50,70,52,64,19,37,7,90,37,37,13,44,7,12,9,31,19,19,43,73,143,43,20,24,39,24,6,8,7,7,20,20
16.0,116,105,31,40,57,47,30,19,30,6,54,22,28,5,27,8,8,4,33,12,11,38,47,91,23,5,15,16,14,3,6,16,10,8,7
17.0,78,76,20,24,29,34,17,14,15,3,35,7,13,5,17,2,8,6,15,15,9,13,32,56,11,7,9,14,5,1,1,8,3,2,11
18.0,63,34,19,10,22,18,16,6,11,1,25,14,7,0,7,5,2,3,5,9,8,21,24,35,6,7,5,11,5,2,3,5,4,5,3
19.0,39,27,12,8,24,12,12,12,7,0,9,3,8,3,11,1,5,6,7,4,5,15,20,20,10,5,4,5,2,1,0,1,2,3,6
20.0,29,32,9,4,19,15,11,12,6,1,15,1,12,7,10,4,6,1,3,2,7,13,8,24,1,10,3,6,3,2,3,0,0,6,9
21.0,38,42,18,11,12,17,17,17,12,4,17,4,18,4,12,4,4,9,7,5,1,8,13,24,12,6,4,7,4,3,2,1,1,1,0
22.0,52,68,56,22,29,22,23,17,16,6,34,6,18,8,8,13,10,6,12,4,9,14,28,48,16,4,9,11,8,6,0,2,3,4,7
23.0,99,80,28,12,57,39,25,31,31,4,36,14,23,3,33,15,13,16,16,9,8,23,48,61,19,20,21,20,19,8,1,7,6,13,9
