hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,60,386,55,41,13,88,18,16,55,17,94,22,5,45,12,19,6,14,1,2,0,2
1.0,52,432,51,56,8,93,23,8,59,26,122,22,10,35,17,15,16,13,8,3,2,0
2.0,70,565,74,40,19,90,22,17,84,26,103,28,12,40,16,31,18,17,3,1,1,2
3.0,68,540,89,58,12,88,34,12,71,31,119,26,5,40,20,21,11,18,9,1,2,7
4.0,62,506,84,50,19,76,26,23,79,38,117,24,12,38,14,20,12,19,3,4,1,1
5.0,60,524,112,52,20,84,32,18,71,32,87,26,9,45,31,25,15,14,2,2,1,4
6.0,64,465,122,50,24,77,32,19,59,32,109,31,11,32,24,16,16,11,5,4,0,1
7.0,82,576,197,71,31,100,33,9,72,38,111,13,21,51,30,18,19,21,7,3,3,1
8.0,88,580,188,74,41,70,48,22,79,49,112,19,17,36,25,15,16,25,6,3,4,0
9.0,87,573,163,61,44,78,48,18,79,50,116,21,22,41,26,21,19,32,8,8,1,2
10.0,90,616,181,74,38,92,49,19,84,47,142,21,13,32,41,32,21,33,8,9,3,1
11.0,104,693,223,83,51,94,76,19,93,60,119,25,27,43,27,30,23,29,10,4,2,2
12.0,88,754,222,90,53,116,71,13,100,51,161,31,20,55,49,25,30,33,10,6,3,2
13.0,105,778,263,89,51,123,81,27,117,54,153,45,28,51,46,27,19,24,8,2,1,4
14.0,108,716,217,80,28,102,79,18,100,71,173,16,25,47,26,28,26,25,8,6,3,2
15.0,72,566,160,51,30,78,44,9,77,53,113,12,18,35,25,16,16,20,6,3,1,3
16.0,37,381,98,28,15,65,23,4,59,21,78,5,5,31,13,17,7,9,4,4,1,3
17.0,30,236,50,9,6,32,14,7,37,18,56,15,7,15,7,6,7,6,2,1,1,0
18.0,20,170,34,8,3,27,7,7,14,8,27,11,3,17,9,3,1,5,2,1,2,1
19.0,10,110,30,14,3,30,5,4,19,12,16,8,3,6,7,3,3,4,2,0,1,0
20.0,8,130,26,8,9,21,9,7,15,8,40,4,3,10,6,1,3,4,1,1,0,1
21.0,11,255,27,14,8,33,10,7,27,6,71,20,0,28,13,5,5,2,2,1,1,2
22.0,26,572,33,31,13,63,19,7,52,22,149,14,6,62,10,17,17,13,2,3,0,0
23.0,46,541,62,52,14,61,20,11,57,22,133,16,1,63,17,9,7,7,2,3,0,1
