hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,50,409,49,35,16,75,24,18,54,21,103,25,10,29,13,11,14,11,2,3,0,1
1.0,53,416,65,45,12,90,28,5,68,27,105,32,12,48,13,9,14,6,5,1,4,0
2.0,51,478,74,51,11,78,24,12,55,34,101,22,9,38,18,17,15,22,6,4,2,1
3.0,50,568,108,49,19,94,26,12,87,44,109,15,13,40,19,23,25,18,2,4,2,1
4.0,65,508,103,59,24,80,24,9,66,38,110,28,3,43,22,20,18,13,8,1,1,1
5.0,53,538,115,37,19,78,38,14,75,38,108,21,17,37,24,21,18,14,8,5,1,1
6.0,77,517,138,52,30,66,31,14,76,30,121,19,11,37,23,16,17,26,3,1,2,0
7.0,70,555,182,52,37,78,36,20,89,57,128,24,17,38,33,15,18,14,5,8,2,0
8.0,70,582,179,62,50,96,44,13,74,47,133,31,20,40,28,19,14,23,5,6,2,2
9.0,99,621,189,63,44,94,51,11,81,43,117,25,26,43,33,25,13,30,9,7,6,5
10.0,74,593,183,86,42,88,80,15,85,52,132,21,24,29,30,27,21,16,4,5,2,5
11.0,78,584,214,86,41,118,74,21,81,46,139,33,26,40,37,13,19,13,4,4,1,0
12.0,93,560,218,76,45,100,79,31,101,56,110,21,30,43,41,23,23,35,8,11,3,2
13.0,90,628,244,82,43,128,79,29,94,57,145,32,25,44,39,26,20,30,6,6,0,3
14.0,93,628,224,65,56,102,71,18,71,58,133,35,31,39,37,33,19,35,9,4,1,4
15.0,53,535,162,56,33,94,53,21,70,48,95,21,12,26,33,19,14,27,12,0,0,1
16.0,46,354,98,35,26,55,20,12,63,31,88,18,14,34,12,11,11,26,2,1,1,5
17.0,24,251,67,20,10,45,11,6,39,16,48,16,6,19,15,14,13,12,6,0,1,0
18.0,14,178,43,12,9,38,16,8,21,13,23,9,2,11,10,2,1,4,2,0,1,0
19.0,14,131,38,10,4,31,5,5,19,16,21,7,1,13,4,4,1,9,1,0,0,1
20.0,15,145,34,10,7,30,8,4,14,14,23,7,1,12,3,4,5,6,2,2,0,1
21.0,17,131,36,18,7,28,8,8,15,14,43,11,0,19,15,6,3,7,2,2,0,1
22.0,34,234,57,31,8,41,8,12,23,17,50,16,5,25,4,8,1,5,0,2,2,0
23.0,46,424,50,41,22,74,23,16,44,16,83,20,4,36,13,31,7,12,3,4,4,0
