hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,54,379,58,37,10,78,24,11,37,26,85,25,8,41,18,29,15,9,5,0,7,3
1.0,45,426,66,41,17,88,26,19,80,30,105,26,7,47,15,23,9,13,5,0,6,1
2.0,72,423,81,46,12,67,34,22,50,37,105,23,14,48,14,25,10,23,5,1,21,4
3.0,59,510,88,66,17,91,43,14,84,36,134,38,16,45,19,18,16,18,4,0,0,1
4.0,59,502,99,37,16,82,36,17,76,27,123,27,8,44,33,20,17,17,5,2,3,0
5.0,55,486,110,62,19,79,35,9,72,44,88,22,7,36,22,27,12,8,4,1,3,4
6.0,77,478,137,53,25,51,37,18,70,49,105,14,15,50,20,21,16,23,2,5,1,3
7.0,87,575,180,68,20,81,48,17,64,45,133,24,20,37,27,26,17,19,5,4,6,4
8.0,73,601,216,61,34,78,59,23,96,52,135,28,20,55,28,24,20,29,4,3,5,0
9.0,110,595,219,72,47,91,63,26,85,71,153,34,26,45,23,20,17,24,6,4,0,0
10.0,98,616,174,69,45,102,67,32,98,49,128,24,21,49,37,33,28,24,5,1,4,1
11.0,97,693,224,90,52,85,66,18,91,59,154,30,43,45,46,31,21,22,10,6,7,3
12.0,110,684,201,97,67,121,79,21,127,56,173,33,38,38,26,33,21,17,8,2,3,1
13.0,101,805,279,87,56,121,101,19,95,80,174,24,35,67,27,24,21,34,12,5,5,8
14.0,93,762,200,96,52,103,81,23,104,75,182,25,38,44,40,30,17,31,6,6,1,1
15.0,77,577,161,54,27,105,40,10,76,46,130,16,25,41,26,30,18,24,5,3,4,1
16.0,35,403,98,28,13,53,30,13,49,38,67,15,13,23,20,17,11,12,2,1,1,0
17.0,16,238,54,12,5,43,11,6,35,14,48,7,5,11,10,7,5,14,3,0,1,2
18.0,19,153,34,6,5,31,7,3,19,13,26,8,4,11,7,4,1,3,1,0,0,0
19.0,10,126,26,8,9,29,3,6,19,9,31,6,6,5,4,3,2,4,0,1,1,0
20.0,10,130,25,13,4,26,10,6,19,10,15,6,3,9,5,5,2,3,3,1,1,1
21.0,19,310,29,22,9,36,14,11,21,8,80,8,3,32,9,3,3,3,0,5,2,1
22.0,40,784,51,35,4,56,18,8,58,23,178,14,4,56,8,12,14,13,4,2,0,2
23.0,67,565,62,30,11,74,28,24,60,29,149,20,14,69,14,15,17,14,2,1,2,2
