hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,72,470,48,35,15,106,21,12,59,30,117,20,4,62,8,10,14,11,2,1,2,1
1.0,38,444,53,50,11,76,26,13,62,29,126,34,8,42,15,22,11,14,3,1,3,0
2.0,53,430,67,51,9,79,20,13,59,29,110,24,6,39,17,18,12,12,4,2,2,1
3.0,85,673,103,58,18,84,34,19,73,40,186,26,11,70,19,25,27,31,4,1,1,2
4.0,71,538,83,46,16,70,20,16,73,42,120,17,8,50,12,26,16,11,6,0,4,2
5.0,50,516,99,42,9,79,31,13,68,36,113,16,6,53,14,19,8,15,4,6,1,2
6.0,46,516,94,42,15,86,20,17,71,41,126,38,8,41,16,17,12,22,4,4,2,2
7.0,51,613,165,55,24,88,29,12,75,38,118,29,14,47,24,19,14,25,6,1,3,4
8.0,73,693,183,70,41,114,49,19,106,51,154,27,15,54,27,19,36,43,10,4,3,4
9.0,115,753,219,103,53,118,52,28,104,53,187,27,9,77,40,33,22,37,10,9,3,2
10.0,102,729,237,90,54,125,66,17,98,41,174,27,24,70,46,22,30,40,8,9,4,4
11.0,114,920,255,83,45,159,65,25,117,73,156,36,20,57,49,29,23,40,17,7,3,2
12.0,132,805,224,97,40,157,74,25,124,61,146,45,28,71,38,28,33,33,7,7,4,4
13.0,119,938,247,121,54,172,74,34,129,81,190,41,30,57,49,29,27,43,15,5,3,7
14.0,111,861,227,113,34,188,52,29,127,48,170,38,35,58,47,34,23,49,9,2,2,8
15.0,64,607,165,71,35,99,47,15,99,48,152,24,19,49,23,21,20,41,3,3,2,4
16.0,43,443,99,34,19,76,28,11,61,26,91,15,7,34,8,17,8,16,4,3,0,1
17.0,27,288,67,10,5,53,11,4,45,23,52,13,3,13,5,2,5,11,2,0,2,0
18.0,20,159,32,10,6,34,5,3,11,9,33,9,2,14,4,7,3,8,1,0,0,1
19.0,13,141,38,11,4,28,7,4,15,11,50,3,1,10,4,5,5,7,0,2,0,0
20.0,10,129,31,13,10,30,10,7,18,8,37,9,5,7,5,6,5,5,1,2,2,1
21.0,19,278,32,16,9,50,8,6,26,14,130,17,6,29,15,17,6,10,0,3,0,0
22.0,31,645,55,34,10,78,11,15,56,18,143,34,6,60,9,17,11,15,1,1,1,0
23.0,56,576,54,45,7,89,22,15,63,33,154,29,8,61,16,26,17,10,3,2,2,5
