hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,222,93,91,218,262,73,205,112,127,11,2,2,5,10,5,13,2,2,3,9,7
1.0,258,114,109,207,273,78,206,142,101,12,2,9,4,13,1,20,1,2,3,8,6
2.0,223,125,118,213,262,84,198,113,122,14,0,5,1,17,6,8,1,1,6,6,5
3.0,312,155,175,254,390,119,298,209,219,20,4,9,7,15,7,21,2,3,6,18,9
4.0,256,118,136,226,278,106,211,154,154,22,3,4,2,11,6,15,1,2,8,7,6
5.0,210,97,118,225,261,74,183,145,121,20,4,5,1,10,6,18,1,1,6,13,2
6.0,179,105,98,236,252,88,196,136,148,14,2,1,2,8,3,13,1,2,3,11,8
7.0,209,117,112,253,273,100,242,144,143,21,0,4,3,15,4,23,2,1,3,10,7
8.0,313,144,129,333,339,130,234,177,180,12,2,7,5,18,5,19,1,0,0,15,9
9.0,355,140,166,449,444,147,291,320,308,20,6,7,4,19,9,30,0,2,2,17,14
10.0,360,144,171,363,442,121,317,276,286,21,3,10,4,20,6,35,2,4,0,26,9
11.0,424,132,258,669,503,148,357,371,448,36,7,10,2,22,9,29,1,3,9,17,31
12.0,439,153,231,954,531,155,438,382,471,21,2,11,9,27,19,46,1,7,7,22,36
13.0,394,138,208,460,526,172,417,311,275,39,5,7,3,12,7,46,2,4,9,15,10
14.0,406,118,191,445,492,161,430,278,330,36,5,14,7,17,12,38,0,4,3,16,12
15.0,279,97,143,291,348,126,304,218,226,31,3,3,4,16,6,20,4,7,6,24,10
16.0,147,49,99,143,208,58,217,91,120,15,6,3,5,11,4,24,0,2,2,18,5
17.0,81,43,60,90,154,38,86,44,59,11,2,2,1,8,5,15,1,4,1,9,2
18.0,59,39,43,59,96,21,70,29,36,3,2,0,1,2,5,5,0,4,2,3,2
19.0,46,44,36,32,71,7,51,40,19,7,0,1,0,7,3,8,2,0,2,3,2
20.0,64,30,29,42,76,14,47,21,34,3,0,0,0,6,2,3,0,0,3,5,1
21.0,23,11,14,19,31,9,21,12,8,0,0,1,0,0,0,1,0,1,1,1,1
22.0,184,74,63,169,185,56,110,96,79,12,2,2,5,9,2,7,1,1,2,5,5
23.0,259,109,103,261,240,82,205,128,126,16,6,5,4,14,6,23,2,3,3,7,7
