hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,95,102,23,76,42,26,41,20,18,119,8,11,6,10,10,13,27,3,6,2
1.0,78,84,33,86,37,29,32,32,20,122,6,17,14,5,8,16,23,3,9,4
2.0,99,86,26,62,52,35,45,34,22,114,7,13,10,8,12,11,20,4,5,0
3.0,133,105,38,142,78,45,53,45,69,158,14,21,11,8,23,13,36,3,5,1
4.0,95,73,39,75,55,24,34,25,29,131,16,17,13,3,15,8,15,1,3,1
5.0,104,57,32,74,38,41,40,35,19,130,12,7,7,8,12,14,13,0,5,3
6.0,104,74,21,63,52,37,34,33,25,113,12,12,10,4,6,11,14,1,6,2
7.0,119,83,31,64,54,41,42,44,27,158,9,11,6,4,7,13,22,3,2,0
8.0,117,109,27,101,53,41,40,49,45,210,12,11,17,6,7,11,20,2,6,1
9.0,175,117,37,112,67,44,63,61,37,233,18,14,6,9,9,13,28,1,3,2
10.0,153,123,36,139,96,38,65,56,49,242,20,30,13,6,15,16,35,2,10,2
11.0,201,152,46,164,96,57,57,69,66,271,14,20,14,8,16,17,31,4,8,4
12.0,201,150,47,156,104,55,88,44,56,271,10,25,11,14,27,27,39,2,13,4
13.0,207,140,51,184,113,62,111,58,75,249,23,21,16,8,23,13,34,8,15,7
14.0,198,115,69,197,111,69,76,55,64,253,22,26,18,8,28,11,40,4,3,8
15.0,162,115,51,155,81,42,79,46,58,188,12,15,14,5,18,16,19,3,5,6
16.0,112,55,26,79,47,23,39,24,38,127,9,22,9,4,9,8,12,0,6,16
17.0,80,25,22,44,37,17,29,22,20,85,5,5,9,3,4,5,8,0,1,0
18.0,38,28,14,25,23,11,26,16,17,56,3,3,6,1,4,4,6,1,2,2
19.0,50,19,9,30,14,13,15,8,9,57,1,6,2,2,2,4,5,1,2,1
20.0,39,22,19,34,19,12,13,15,14,48,3,4,0,0,2,5,5,0,5,1
21.0,57,45,19,37,25,19,20,30,13,60,5,3,6,6,3,7,6,0,4,3
22.0,74,108,15,82,26,25,25,23,13,121,5,15,8,91,9,10,13,2,1,2
23.0,119,98,22,87,51,35,42,46,18,123,22,18,13,11,10,10,16,1,7,3
