hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,367,155,225,136,115,229,90,85,125,77,88,19,55,45,35,9,1,38,13,50,19,11,21,17,4
1.0,334,193,232,152,112,244,80,83,136,87,109,21,74,34,43,28,1,30,21,61,28,13,13,25,7
2.0,365,154,297,165,124,252,82,88,122,83,107,23,87,39,53,23,0,35,31,53,24,10,19,24,5
3.0,532,282,423,243,173,359,140,138,213,129,143,40,124,58,87,20,6,53,28,92,46,30,25,54,5
4.0,367,179,291,178,154,264,85,110,135,91,111,34,112,71,68,23,6,47,29,72,24,22,19,34,1
5.0,353,182,315,140,124,292,90,98,154,79,109,30,91,49,71,24,3,45,25,63,20,19,24,26,4
6.0,343,171,314,157,116,293,82,92,155,96,80,26,105,45,57,22,1,36,29,74,29,20,15,26,2
7.0,433,194,347,194,215,374,82,120,182,86,110,21,109,76,70,22,5,36,29,74,26,33,17,34,8
8.0,474,219,451,230,215,395,117,150,194,98,125,38,135,108,82,23,4,36,30,81,23,44,20,32,6
9.0,599,254,548,249,233,481,131,195,245,116,171,44,157,139,126,35,10,56,45,129,25,24,32,37,7
10.0,582,259,560,272,207,484,101,213,238,149,181,36,180,120,119,41,5,52,48,124,35,35,32,47,2
11.0,696,278,621,277,276,536,134,219,286,134,166,52,208,137,145,33,5,59,45,161,46,30,25,64,6
12.0,757,298,688,332,230,531,141,238,293,151,191,42,251,120,152,26,7,51,41,164,34,52,37,50,10
13.0,705,270,696,360,278,530,166,226,299,162,195,52,234,108,156,37,4,60,53,146,43,43,27,61,15
14.0,657,279,593,305,223,486,143,232,260,162,189,45,244,87,155,29,7,54,40,151,34,36,22,65,9
15.0,512,208,489,207,212,410,92,160,214,99,135,31,194,86,99,23,3,34,42,126,35,23,18,53,14
16.0,308,137,344,124,141,230,76,112,137,72,90,20,98,42,94,15,4,32,26,72,23,20,11,26,3
17.0,206,102,188,70,90,176,41,76,100,55,50,17,56,38,70,10,3,10,19,43,13,13,16,31,5
18.0,167,78,135,56,62,129,33,41,73,35,35,7,36,19,23,10,4,11,20,20,10,12,10,13,1
19.0,134,74,96,47,50,121,36,47,59,26,31,9,34,27,21,6,2,19,17,20,8,7,7,11,1
20.0,128,60,87,39,38,79,25,36,44,33,36,11,40,9,19,9,1,7,16,23,6,9,5,9,1
21.0,206,86,143,65,64,130,46,38,74,39,56,17,41,27,31,9,1,15,7,26,6,5,11,23,2
22.0,281,118,181,129,100,191,72,74,93,72,75,18,80,42,51,10,3,21,25,70,11,16,8,26,3
23.0,447,196,314,193,116,291,99,92,140,101,126,26,101,54,61,20,1,41,30,82,22,20,20,25,6
