hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,344,180,289,138,107,217,65,87,135,80,126,20,74,51,45,20,6,35,16,71,18,13,11,60,3
1.0,307,170,285,161,144,249,80,83,118,109,120,27,76,36,51,20,2,19,24,48,13,17,15,59,2
2.0,333,175,287,174,127,218,87,111,141,88,92,22,99,39,46,19,4,28,26,50,19,20,14,62,8
3.0,496,231,475,242,186,347,116,133,216,121,175,41,111,66,91,32,5,48,35,96,33,32,23,115,4
4.0,410,144,316,172,145,245,84,106,174,98,116,24,114,48,72,20,3,25,23,66,20,25,16,67,5
5.0,373,161,305,155,136,266,91,114,162,72,113,25,83,55,58,17,3,37,32,82,23,24,22,66,2
6.0,409,137,341,142,139,241,100,103,132,87,105,34,122,49,77,20,4,35,26,87,19,20,24,57,1
7.0,458,178,380,172,131,343,98,112,181,83,119,24,133,92,80,26,4,36,31,89,18,31,11,84,3
8.0,512,177,488,200,167,384,107,152,200,113,139,35,129,100,102,22,6,34,36,86,15,29,21,96,5
9.0,617,246,582,292,199,448,142,170,223,121,155,41,181,143,126,41,10,48,46,103,27,40,30,127,2
10.0,636,251,572,297,213,423,139,199,289,137,186,39,223,125,121,33,3,61,43,123,23,48,27,103,2
11.0,695,282,604,290,229,445,142,219,280,139,229,44,188,158,136,27,7,52,41,145,31,51,19,165,7
12.0,762,329,713,307,212,498,199,250,301,164,217,56,244,143,167,45,11,80,47,163,43,86,34,143,8
13.0,801,299,769,356,274,509,157,244,288,156,222,56,269,118,149,44,5,55,58,158,40,50,38,139,6
14.0,687,275,657,299,230,453,158,233,297,148,214,55,227,99,143,45,6,55,36,165,33,36,33,118,5
15.0,492,203,462,217,183,360,105,162,205,97,139,25,166,89,125,25,6,34,44,103,26,23,25,77,6
16.0,334,148,300,112,116,221,99,108,121,88,85,22,92,50,76,25,2,16,35,66,16,19,20,56,6
17.0,220,101,189,72,72,162,47,70,97,57,63,14,50,37,38,19,3,14,13,37,12,8,12,17,2
18.0,131,98,141,53,50,113,40,58,52,38,51,10,39,23,31,12,1,12,13,29,10,9,11,20,2
19.0,119,61,86,46,57,93,36,40,62,30,33,10,34,16,25,8,1,4,18,31,7,3,7,23,1
20.0,128,59,86,39,56,117,38,29,51,26,35,9,28,22,17,6,4,8,13,15,10,6,3,11,1
21.0,156,90,117,89,53,117,53,62,74,41,55,10,44,26,24,12,3,11,14,34,6,7,11,22,2
22.0,270,117,251,147,129,185,60,74,99,56,85,21,85,41,49,12,1,18,24,75,14,16,5,35,6
23.0,374,169,287,165,166,251,88,105,150,71,133,38,92,41,64,16,4,40,27,76,23,10,21,44,5
