hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,329,170,126,303,319,114,219,170,181,19,3,6,6,21,5,16,4,1,3,16,11
1.0,320,159,134,321,364,119,267,210,174,14,3,3,3,21,8,24,2,2,4,6,9
2.0,328,163,152,405,359,126,240,190,197,26,1,4,3,14,6,21,0,2,8,12,7
3.0,365,193,155,398,385,112,261,219,198,19,2,1,4,15,4,9,4,2,8,15,15
4.0,345,156,147,344,336,120,267,173,203,18,5,12,4,11,13,12,3,1,6,13,14
5.0,339,116,151,313,353,104,254,156,180,21,5,6,4,27,5,22,3,4,9,14,10
6.0,274,159,134,281,307,107,270,160,166,19,0,6,5,11,7,21,0,1,5,10,7
7.0,286,173,121,362,346,122,257,196,207,19,1,2,4,20,8,26,2,3,5,6,17
8.0,356,189,149,421,364,123,261,188,196,21,1,4,4,23,6,22,0,4,5,11,12
9.0,377,176,168,345,417,134,298,221,211,23,4,6,4,18,4,25,4,3,6,17,7
10.0,411,186,154,415,462,146,318,221,213,18,5,7,8,20,5,27,1,3,7,19,11
11.0,499,163,183,471,517,179,365,283,290,32,3,4,7,20,10,33,2,9,10,16,14
12.0,494,165,240,491,680,163,425,314,323,38,7,9,8,26,7,33,1,7,11,21,12
13.0,490,192,227,488,634,207,514,297,293,30,6,9,7,25,11,50,2,6,4,20,8
14.0,427,178,195,451,592,174,476,318,283,20,6,7,3,21,7,51,3,13,7,18,4
15.0,313,155,170,327,471,142,345,199,233,16,8,8,4,36,6,34,2,3,8,20,8
16.0,208,101,114,179,320,90,201,134,105,17,0,2,3,9,5,29,1,2,0,12,0
17.0,129,71,70,90,184,39,132,54,60,7,2,2,3,6,4,19,1,0,6,7,1
18.0,84,52,40,55,120,28,80,31,43,8,1,3,3,6,4,7,0,1,4,4,2
19.0,67,45,24,53,101,14,61,26,36,5,1,2,2,16,5,17,1,2,1,11,0
20.0,78,54,28,44,85,16,49,23,25,3,0,3,0,10,2,11,0,0,0,2,3
21.0,101,64,42,97,92,44,75,37,30,5,3,0,4,11,1,7,1,1,3,2,3
22.0,207,116,56,217,203,56,159,64,83,8,4,2,4,17,2,4,1,0,4,10,15
23.0,271,118,100,276,278,78,210,108,119,31,4,3,5,11,3,16,1,5,3,9,7
