hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,61,420,45,38,11,122,23,6,51,37,118,51,8,36,5,10,19,11,3,1,3,1
1.0,28,433,56,39,13,154,19,16,55,25,90,50,4,49,15,15,11,12,3,0,1,1
2.0,31,426,80,40,12,134,29,17,52,29,99,50,5,36,16,12,13,18,1,1,2,0
3.0,61,650,98,71,17,171,39,14,80,49,147,78,18,59,22,19,26,27,6,2,2,5
4.0,49,542,80,48,25,170,34,13,66,36,91,79,10,44,11,20,18,17,3,1,6,4
5.0,51,502,96,45,17,167,25,8,58,41,111,89,4,32,11,17,12,20,4,3,1,1
6.0,68,600,110,41,24,159,17,17,79,45,94,73,7,34,23,18,22,17,10,1,2,1
7.0,59,680,149,70,23,182,34,8,70,47,144,66,15,38,14,13,8,23,5,7,0,3
8.0,88,785,207,63,47,203,69,23,90,44,160,70,17,60,25,23,10,32,4,3,1,1
9.0,107,771,272,78,60,245,69,17,86,69,200,156,13,53,36,14,16,39,9,7,4,4
10.0,108,769,251,99,55,223,69,30,96,51,179,129,20,65,33,21,17,32,4,12,5,2
11.0,121,811,299,100,63,229,77,25,113,62,185,141,30,62,41,23,14,35,5,5,1,6
12.0,142,794,304,112,69,318,100,31,108,80,180,159,47,57,47,27,25,31,10,8,2,2
13.0,125,807,328,111,64,299,102,29,107,72,167,149,37,48,36,30,25,41,6,8,1,3
14.0,98,763,279,96,66,221,85,17,97,60,163,121,36,48,43,25,19,25,11,4,1,4
15.0,84,576,213,54,43,198,48,18,66,61,133,84,28,31,25,26,12,24,5,2,1,4
16.0,32,425,141,30,22,108,29,10,54,17,75,37,13,33,17,13,10,18,6,1,3,3
17.0,31,247,75,24,17,57,17,7,33,20,42,18,7,14,13,6,6,13,2,2,3,1
18.0,18,193,58,14,5,44,9,4,13,13,31,23,3,15,9,4,2,7,2,1,0,0
19.0,19,134,48,6,12,38,6,9,18,10,29,13,5,11,11,5,3,6,3,2,0,1
20.0,18,120,41,11,5,39,4,7,8,12,21,14,1,10,9,2,2,3,1,0,1,0
21.0,27,169,35,13,4,48,10,8,12,13,43,14,3,13,11,5,3,2,1,0,0,0
22.0,34,315,46,24,9,99,14,9,33,16,74,30,10,35,6,5,8,10,3,8,0,0
23.0,38,425,53,38,9,137,26,14,44,22,91,55,7,41,17,12,8,11,5,0,1,0
