hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,96,73,31,20,45,59,21,26,29,3,66,11,29,5,31,8,10,9,14,17,19,23,36,46,27,14,52,26,7,5,2,3,3,9,12
1.0,90,73,37,29,55,61,10,25,27,7,52,13,21,8,27,9,33,6,15,10,18,24,39,68,28,15,45,24,12,3,3,4,3,8,13
2.0,96,83,32,17,78,68,22,22,33,4,64,15,27,3,30,7,19,12,25,5,6,17,29,70,23,20,48,19,10,5,1,4,9,6,20
3.0,154,110,44,24,71,107,54,30,50,13,82,14,42,8,72,10,16,10,37,21,22,24,46,104,37,37,95,36,15,10,4,10,9,13,14
4.0,105,85,34,20,68,78,34,27,31,4,77,22,28,4,46,7,13,12,15,13,18,25,51,70,25,14,75,27,12,5,1,8,10,21,13
5.0,84,74,39,13,71,68,45,25,25,7,47,12,21,9,33,9,11,15,21,10,12,23,33,67,27,12,66,16,11,10,2,8,7,8,13
6.0,95,80,26,18,48,75,27,33,32,9,56,23,18,11,35,9,17,14,16,9,6,28,34,69,27,12,70,24,13,8,2,8,11,17,15
7.0,99,73,38,22,47,71,29,30,30,8,62,31,20,8,33,7,13,20,22,12,15,36,51,78,22,14,96,27,15,6,2,6,6,15,16
8.0,110,94,41,20,69,78,39,29,41,11,65,28,33,6,42,8,13,12,18,15,20,30,51,99,23,19,95,35,23,10,7,1,5,13,12
9.0,164,137,53,30,65,92,53,34,29,7,92,89,49,10,54,20,16,9,20,17,24,31,66,140,43,16,76,39,21,7,4,11,18,18,22
10.0,134,127,73,42,82,92,50,41,37,13,76,61,32,12,60,15,10,20,36,14,26,48,71,173,31,21,50,36,22,7,7,11,15,14,16
11.0,174,179,67,40,90,114,61,44,50,11,91,52,42,14,57,17,18,12,46,24,21,41,81,160,35,21,55,35,28,9,5,6,14,20,26
12.0,182,171,61,50,74,108,82,39,56,10,91,51,36,8,59,9,15,18,36,21,24,44,87,138,28,21,55,50,32,7,3,9,17,22,11
13.0,196,186,69,61,103,92,54,44,57,9,114,45,42,8,62,16,13,25,44,20,20,45,105,166,47,14,32,47,30,10,2,6,8,22,28
14.0,202,190,56,58,100,99,58,31,59,10,94,55,30,18,55,7,16,15,56,35,22,63,95,149,30,24,37,52,29,10,5,12,15,21,25
15.0,157,135,47,42,77,68,65,28,44,7,69,40,21,6,43,11,17,13,41,11,21,46,93,126,31,13,26,44,18,5,6,6,9,12,21
16.0,96,83,50,41,51,41,39,14,18,6,45,29,17,7,30,8,4,13,20,16,11,29,65,81,15,7,13,28,8,2,3,9,7,13,18
17.0,78,55,25,30,25,30,30,20,11,4,34,11,13,4,18,5,1,9,15,7,8,22,39,63,15,10,12,24,5,4,1,3,5,7,8
18.0,65,43,15,14,21,19,18,10,12,0,14,5,7,4,7,0,4,3,8,4,4,13,23,24,6,5,7,11,1,1,0,0,3,4,6
19.0,35,30,8,13,16,20,15,3,3,2,14,4,4,0,9,1,5,5,10,5,1,14,19,15,13,5,8,9,0,1,1,1,2,7,6
20.0,36,31,15,6,18,14,16,5,6,1,11,2,7,4,8,2,8,0,9,3,6,8,15,22,6,3,2,5,5,3,2,1,5,3,8
21.0,47,36,15,12,30,24,11,9,15,0,14,6,18,6,14,7,7,3,4,3,8,10,15,21,6,5,3,9,3,3,1,4,4,5,7
22.0,38,68,15,16,37,29,18,14,15,7,33,13,29,4,15,8,8,3,18,16,3,13,32,33,15,9,10,17,8,6,1,4,6,7,6
23.0,117,81,38,19,60,34,28,21,20,11,43,26,32,9,19,12,11,4,19,15,12,22,29,52,27,22,21,20,10,5,1,8,4,7,6
