hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,322,152,245,140,104,219,94,102,147,74,107,18,62,42,58,13,2,20,17,47,16,13,12,17,3
1.0,349,144,299,165,115,233,101,117,161,77,80,15,80,54,47,13,2,26,28,54,16,20,18,12,4
2.0,360,159,262,154,97,272,109,96,138,75,102,18,81,41,65,18,4,26,25,54,17,21,22,23,5
3.0,532,227,446,242,168,351,158,150,220,124,127,29,124,65,73,34,3,30,29,82,32,26,20,32,7
4.0,414,168,325,155,119,264,98,89,147,67,116,27,101,50,73,17,3,41,17,71,17,18,20,40,8
5.0,346,171,297,154,106,239,103,116,125,91,98,13,106,59,73,22,0,28,30,73,21,24,29,27,4
6.0,355,156,320,133,109,232,98,107,134,96,91,27,106,39,70,17,4,22,32,48,17,26,16,39,4
7.0,410,185,359,192,137,302,95,109,162,85,121,27,118,74,68,25,5,34,30,74,28,33,15,38,9
8.0,510,189,460,228,150,388,134,144,217,105,121,45,119,118,88,20,3,35,26,84,20,29,23,42,1
9.0,584,218,582,266,209,461,154,175,230,114,163,46,219,120,114,31,8,58,39,119,45,25,41,59,4
10.0,609,236,613,289,212,518,169,205,257,121,167,42,206,144,152,32,11,44,40,125,29,47,33,47,2
11.0,723,305,641,334,236,558,170,248,300,143,185,49,215,165,145,38,14,54,50,136,32,32,47,65,7
12.0,749,282,738,342,267,553,175,239,265,156,234,59,251,124,139,45,14,64,51,147,30,53,40,68,6
13.0,679,268,754,357,262,532,172,218,285,177,204,60,210,116,142,37,7,55,58,176,30,43,40,99,8
14.0,659,295,635,306,246,503,165,244,273,162,171,59,245,91,126,52,2,72,52,139,36,38,34,135,9
15.0,469,215,516,234,207,368,94,148,225,124,156,44,181,94,111,27,7,38,38,117,25,36,28,83,6
16.0,312,117,296,100,98,213,55,103,135,78,82,11,100,64,77,22,2,31,31,67,11,7,18,44,6
17.0,201,84,191,77,77,173,51,87,107,38,54,19,56,48,37,9,0,10,22,50,13,11,13,17,2
18.0,142,70,130,47,52,150,38,51,55,28,28,4,38,24,40,13,2,6,19,22,6,6,7,35,1
19.0,140,56,91,40,56,135,25,38,62,26,36,12,23,20,21,11,1,7,12,22,2,5,5,14,4
20.0,106,71,90,35,43,108,46,49,45,31,24,12,18,18,18,10,5,16,6,25,8,5,6,12,1
21.0,145,103,108,72,69,112,44,61,75,47,45,8,47,17,25,5,1,11,6,40,5,9,11,23,4
22.0,246,139,237,130,85,196,54,60,111,41,86,17,72,37,50,13,1,23,14,67,5,12,11,43,8
23.0,363,199,334,167,114,254,83,130,153,91,100,21,98,49,68,11,3,41,29,80,20,19,14,76,7
