hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,198,105,25,92,56,31,22,41,22,101,20,14,9,5,10,13,12,1,9,3
1.0,195,100,28,84,30,45,26,37,28,95,5,19,7,7,10,14,12,1,11,4
2.0,226,77,20,79,35,41,46,52,24,133,10,16,10,3,12,16,15,4,4,1
3.0,332,125,36,148,67,38,50,43,30,172,21,17,16,9,17,21,27,3,6,2
4.0,245,95,42,117,33,26,40,35,32,126,12,16,10,7,9,10,11,1,6,1
5.0,233,81,20,92,33,33,34,39,23,118,13,17,14,5,15,14,15,1,2,1
6.0,220,85,23,86,32,44,36,38,39,125,3,15,7,2,7,10,12,0,4,4
7.0,259,94,29,78,44,33,32,34,36,188,8,18,17,9,17,17,21,1,4,0
8.0,276,84,27,116,51,40,61,55,32,221,15,17,17,8,8,15,21,2,6,1
9.0,308,127,36,150,56,44,61,72,42,250,15,19,23,2,9,14,30,2,3,6
10.0,344,139,35,160,81,41,71,64,39,257,19,15,14,6,16,8,32,1,9,2
11.0,377,180,62,197,90,56,58,69,80,290,18,27,17,14,20,20,32,4,7,3
12.0,340,184,45,184,125,64,83,61,59,252,23,24,16,10,19,12,32,4,8,10
13.0,395,175,69,218,134,57,97,71,69,303,24,29,19,12,23,13,28,5,9,6
14.0,341,187,49,228,130,67,99,67,70,283,22,39,26,10,24,20,35,3,5,5
15.0,213,93,59,144,94,43,57,54,49,201,14,39,12,6,14,17,18,1,9,4
16.0,155,69,33,100,50,32,37,35,25,158,9,15,7,3,6,9,13,1,1,3
17.0,115,30,17,53,31,20,22,24,16,79,5,6,5,0,8,7,6,1,0,2
18.0,56,16,13,43,20,14,22,19,20,57,4,3,1,1,4,5,7,1,1,4
19.0,39,21,8,38,16,10,14,17,17,54,3,9,5,3,1,6,7,2,2,1
20.0,69,23,14,27,24,13,19,20,11,56,2,5,4,2,8,6,3,0,3,1
21.0,83,88,9,50,18,22,25,12,14,89,10,6,10,20,5,11,12,1,2,2
22.0,102,144,22,102,21,26,49,47,17,168,5,14,7,13,7,13,13,1,5,2
23.0,140,139,30,111,57,40,49,45,26,186,11,12,12,9,8,11,20,0,4,2
