hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,104,116,22,68,39,27,41,28,16,105,9,18,13,14,8,14,13,1,2,3
1.0,130,92,33,81,30,32,33,26,29,121,6,13,10,11,6,12,20,1,4,2
2.0,111,64,29,71,48,32,36,30,33,106,5,14,5,1,8,11,17,1,0,2
3.0,140,92,41,118,61,32,48,48,52,153,19,15,10,4,12,15,31,4,4,3
4.0,134,87,32,77,50,40,35,37,35,107,3,13,9,6,13,11,15,1,6,1
5.0,99,62,22,59,35,28,28,53,26,125,7,7,15,6,9,13,18,1,7,5
6.0,118,61,22,72,47,26,41,30,26,107,8,11,8,3,5,18,21,1,7,2
7.0,136,73,25,58,59,35,50,41,31,180,10,15,5,6,12,25,23,1,3,5
8.0,177,85,31,95,54,48,75,32,43,193,17,20,12,5,15,16,29,5,7,4
9.0,243,101,44,128,80,61,65,49,58,247,12,13,19,14,10,34,32,2,9,6
10.0,184,107,39,111,94,36,51,41,47,237,20,21,7,6,15,22,34,1,11,3
11.0,205,133,42,143,83,58,70,73,87,273,17,18,25,6,19,31,28,6,6,2
12.0,202,138,58,128,111,66,69,53,77,256,21,24,19,10,22,26,33,5,14,5
13.0,201,140,65,151,120,52,80,51,90,245,19,33,23,8,19,17,18,1,9,8
14.0,203,137,57,153,127,49,94,47,63,229,17,27,18,6,16,17,25,3,11,11
15.0,178,103,33,124,94,36,82,39,56,198,15,17,10,6,23,15,24,4,6,0
16.0,101,52,30,86,68,31,50,44,29,135,6,14,13,8,15,12,13,1,3,3
17.0,94,32,19,34,39,16,21,30,37,85,6,11,6,1,8,7,8,1,2,1
18.0,58,18,7,21,19,10,17,21,15,62,5,10,2,1,1,3,9,1,3,0
19.0,51,11,7,26,9,9,14,16,14,51,9,12,6,0,3,6,5,0,1,3
20.0,56,22,11,27,25,10,18,16,10,51,2,8,2,5,4,3,7,2,2,0
21.0,23,18,3,10,3,5,4,7,0,17,1,3,1,3,1,1,4,0,1,0
22.0,130,128,13,67,25,21,35,13,20,147,6,11,7,9,2,6,13,3,9,2
23.0,154,117,29,86,40,31,46,38,36,148,12,17,8,6,10,11,11,2,10,0
