hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,160,122,29,99,56,35,46,22,37,141,11,19,11,8,10,15,19,1,2,3
1.0,166,115,30,65,53,44,56,47,32,140,13,19,11,9,7,11,27,6,5,1
2.0,150,106,31,84,52,46,53,45,47,133,13,21,15,4,6,18,27,3,5,2
3.0,181,104,34,115,45,51,63,33,45,149,10,15,12,9,11,16,42,1,5,5
4.0,131,108,33,77,70,45,41,32,52,130,19,11,18,3,8,12,25,0,5,6
5.0,145,95,33,87,64,53,51,43,56,126,15,21,12,6,15,15,17,5,8,2
6.0,133,71,29,83,66,44,41,41,28,173,14,14,9,4,3,14,31,0,7,4
7.0,154,78,31,92,54,32,39,41,36,157,18,11,4,3,14,17,19,1,5,2
8.0,171,100,29,101,76,42,59,53,48,202,17,10,7,9,17,17,27,2,6,3
9.0,163,121,44,109,79,47,53,45,50,205,6,15,22,5,16,16,22,0,5,4
10.0,149,126,32,109,78,45,77,47,42,240,13,16,10,9,19,16,21,2,2,10
11.0,203,123,37,143,97,51,73,41,61,262,30,26,14,7,23,19,25,4,10,6
12.0,173,143,38,145,95,36,71,64,65,224,19,15,17,6,22,16,26,3,5,4
13.0,184,163,42,159,103,48,74,46,83,254,36,23,22,4,29,18,34,3,8,10
14.0,179,134,48,157,98,66,86,40,77,195,29,24,11,9,23,17,47,4,7,8
15.0,145,93,66,141,75,40,68,41,63,203,18,18,8,7,18,11,19,4,8,8
16.0,112,68,32,84,59,22,63,27,45,133,13,15,7,4,12,14,15,0,6,1
17.0,103,36,18,48,35,22,34,18,21,102,3,10,7,4,10,8,7,0,3,2
18.0,62,24,11,36,23,10,21,16,22,67,4,5,1,6,2,1,5,0,6,1
19.0,44,12,11,25,21,14,13,18,6,69,3,6,2,2,3,7,10,0,2,2
20.0,45,39,6,27,19,16,8,17,6,41,3,8,6,2,1,5,9,1,2,2
21.0,65,43,10,43,25,12,12,12,9,56,5,5,2,2,4,5,9,0,2,1
22.0,71,82,14,54,25,17,27,23,18,105,6,14,8,15,8,6,41,2,6,2
23.0,123,126,37,79,42,21,45,34,31,160,12,17,14,9,9,9,449,3,10,2
