hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,60,424,54,42,9,89,18,15,48,26,103,30,6,51,13,11,9,11,4,0,2,1
1.0,61,385,56,36,7,81,18,17,52,28,121,24,6,48,21,21,13,9,4,2,2,3
2.0,42,422,64,41,9,80,19,9,67,28,94,30,5,30,13,10,17,14,5,2,1,1
3.0,57,618,90,45,16,123,33,20,82,52,130,46,12,61,34,26,22,14,7,2,2,6
4.0,55,482,84,39,8,99,22,15,68,32,98,36,6,36,13,16,11,16,8,5,2,2
5.0,45,433,89,41,16,82,33,12,55,35,128,29,8,29,22,12,13,22,3,6,1,4
6.0,62,465,145,44,20,74,27,11,79,31,108,22,6,30,21,15,19,21,3,2,4,1
7.0,88,620,138,51,25,94,43,14,91,39,119,28,7,57,21,18,18,36,8,5,2,3
8.0,76,636,187,60,47,123,52,13,77,53,129,45,13,47,37,22,10,28,4,9,7,2
9.0,86,703,219,71,49,130,65,33,104,72,172,42,13,75,49,39,17,33,7,6,6,3
10.0,103,753,228,80,36,126,61,20,93,53,154,38,29,44,36,24,22,35,8,8,4,4
11.0,105,749,255,93,50,117,68,24,110,57,171,43,22,49,34,35,21,22,8,6,2,1
12.0,115,768,276,83,52,151,76,23,122,72,166,42,42,62,51,29,25,42,10,5,4,5
13.0,107,872,266,99,44,181,86,21,134,80,204,37,39,59,46,27,36,35,6,9,1,2
14.0,86,771,259,85,48,140,68,24,125,80,218,31,40,50,42,27,19,33,9,3,3,5
15.0,60,540,154,51,35,124,53,12,84,55,121,27,19,35,28,18,16,21,8,1,4,4
16.0,50,441,96,36,12,66,31,9,52,27,72,14,16,29,18,11,5,12,6,0,3,3
17.0,21,263,52,16,11,65,11,15,35,23,47,13,6,19,13,18,4,8,1,1,2,0
18.0,15,180,42,11,6,31,9,3,26,10,39,8,3,15,8,11,2,12,0,2,0,2
19.0,13,114,26,10,9,33,7,5,14,10,26,8,2,11,9,3,4,0,1,1,0,1
20.0,13,149,34,9,8,26,7,6,15,11,23,15,0,12,7,5,1,3,1,1,0,1
21.0,25,244,44,21,13,43,12,9,20,20,70,17,2,31,9,7,9,7,2,3,0,0
22.0,45,556,50,43,7,80,28,14,54,25,116,25,4,42,7,21,13,13,4,4,2,1
23.0,58,541,56,55,11,93,30,10,77,39,123,42,7,71,16,16,15,11,3,0,3,3
