hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,44,438,69,51,7,151,28,16,49,30,108,67,3,37,10,15,10,12,4,2,1,2
1.0,52,511,78,51,20,186,26,15,66,42,104,79,8,41,21,17,13,17,4,1,0,1
2.0,72,540,102,53,23,177,32,15,70,36,95,75,5,48,19,16,14,16,9,1,1,2
3.0,65,582,108,54,19,190,42,18,67,34,118,84,14,49,17,23,19,22,3,4,2,2
4.0,80,598,115,45,24,187,36,12,82,47,130,77,7,55,20,12,11,23,6,1,0,5
5.0,56,595,117,46,17,146,39,12,83,44,106,72,10,38,15,20,9,30,6,0,1,2
6.0,74,590,115,62,17,138,30,14,67,38,118,83,12,45,18,12,15,23,5,5,1,4
7.0,69,680,154,59,41,144,42,12,88,42,135,100,16,59,27,17,17,22,7,2,1,3
8.0,80,607,166,84,38,171,44,14,98,50,137,74,14,58,35,18,18,31,5,0,2,2
9.0,82,710,222,109,65,354,55,28,107,67,147,128,20,48,24,28,24,29,4,5,0,1
10.0,71,700,217,83,54,264,82,24,92,63,155,145,26,43,33,26,26,21,9,5,2,1
11.0,102,738,240,106,64,265,60,25,91,67,168,151,23,57,29,22,24,32,10,4,4,4
12.0,116,749,230,105,57,258,70,24,127,66,170,197,19,72,32,22,24,36,5,3,7,2
13.0,151,745,264,111,59,269,75,27,87,79,165,172,24,46,45,28,31,38,8,4,3,3
14.0,88,657,231,111,49,209,57,18,94,85,147,197,28,44,32,21,18,41,8,6,2,6
