hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,355,145,245,150,125,251,74,106,132,83,112,22,101,49,50,22,4,28,20,76,27,15,18,26,3
1.0,386,182,292,150,128,293,98,125,146,97,138,30,127,57,59,16,2,34,32,77,26,18,12,33,5
2.0,412,168,311,222,133,327,84,137,142,99,120,39,118,64,63,25,3,41,29,63,30,22,14,32,3
3.0,536,210,368,217,159,338,109,131,183,89,163,34,112,68,59,18,4,35,34,107,23,18,16,46,12
4.0,431,180,350,215,147,332,105,110,184,97,116,37,133,62,69,23,6,32,35,88,25,27,17,31,4
5.0,440,187,358,198,143,340,98,132,163,96,127,31,124,55,85,31,1,38,33,101,19,24,27,28,8
6.0,412,137,377,202,153,283,98,115,175,104,107,33,153,64,70,28,4,37,36,93,16,24,13,32,6
7.0,487,200,377,199,148,365,99,155,178,109,116,31,151,105,84,28,3,28,28,104,31,29,16,34,6
8.0,524,208,481,226,188,425,107,167,181,106,138,29,163,117,81,27,4,47,35,104,15,31,24,33,5
9.0,575,257,464,244,186,501,117,212,220,134,155,36,183,127,114,25,8,50,45,131,27,36,21,45,6
10.0,572,242,477,283,203,516,100,193,211,129,174,40,186,119,122,26,11,35,55,144,20,41,24,44,1
11.0,616,292,523,308,265,560,110,264,275,130,188,59,258,121,97,40,11,46,55,146,29,46,28,51,2
12.0,705,303,609,310,284,521,118,233,278,163,207,59,263,108,119,40,8,43,50,146,28,39,36,53,8
13.0,695,328,598,345,276,610,147,285,272,151,238,53,293,110,127,41,12,57,44,164,35,44,40,77,7
14.0,666,288,562,285,237,594,138,235,271,149,212,46,230,110,153,43,6,48,54,146,31,41,29,57,8
15.0,544,242,458,218,185,411,101,198,206,136,137,35,206,96,114,41,4,34,38,124,22,33,24,43,7
16.0,311,158,355,120,110,292,59,140,157,66,85,21,117,46,86,32,5,19,35,71,16,22,27,38,9
17.0,239,103,170,71,97,198,51,76,101,57,62,16,79,36,44,24,0,16,21,42,9,12,7,13,3
18.0,136,77,127,53,56,116,29,42,67,35,42,5,42,38,36,12,1,16,10,16,6,16,7,18,1
19.0,141,80,83,41,44,96,27,46,67,33,32,11,32,25,16,10,0,10,17,31,7,3,9,13,2
20.0,108,66,98,39,35,104,27,43,45,31,33,10,32,28,18,9,1,8,7,14,5,4,6,10,2
21.0,159,112,112,71,59,127,34,55,69,36,54,17,47,29,31,7,3,15,13,23,11,13,9,64,2
22.0,227,112,209,154,73,186,72,77,103,70,84,19,86,27,38,19,2,21,20,49,12,11,9,25,2
23.0,355,204,295,182,119,247,88,110,145,75,119,33,88,51,38,16,0,33,28,69,19,20,14,28,5
