hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,240,124,103,205,233,66,141,121,114,20,5,7,4,11,5,12,3,1,7,13,3
1.0,181,119,99,231,227,59,152,150,146,13,4,5,4,10,2,17,3,3,5,10,4
2.0,182,121,100,202,206,67,168,168,107,14,4,4,2,24,11,13,0,3,4,10,6
3.0,330,160,179,299,399,104,251,205,229,18,3,8,9,11,7,18,1,4,8,21,2
4.0,206,102,124,271,264,67,207,174,150,9,1,6,7,14,4,14,1,2,4,8,5
5.0,209,109,122,214,249,83,201,126,142,19,4,6,2,14,4,24,2,1,6,9,3
6.0,237,143,100,234,239,78,196,141,120,15,5,7,3,13,5,13,4,1,6,15,7
7.0,205,152,108,263,288,80,216,125,120,15,2,9,3,9,9,13,5,5,4,12,6
8.0,252,175,138,326,342,94,275,182,163,24,2,6,3,14,7,19,4,4,8,10,5
9.0,368,161,174,368,469,114,351,245,267,28,4,6,4,14,8,18,2,3,4,19,7
10.0,356,146,182,335,451,161,336,287,262,22,7,8,4,11,4,23,4,4,11,10,15
11.0,415,160,181,367,502,130,351,284,286,31,6,6,6,20,11,33,6,2,10,9,15
12.0,435,127,232,460,559,156,404,345,314,24,5,7,6,20,14,40,4,6,3,16,19
13.0,427,135,261,402,641,152,436,290,308,27,7,9,6,24,10,30,3,5,8,23,5
14.0,412,119,228,414,581,179,425,333,330,39,4,6,6,22,10,31,4,7,3,16,8
15.0,271,92,173,288,399,95,284,198,192,20,6,13,5,16,12,16,1,2,9,9,14
16.0,171,70,98,170,233,70,157,105,124,22,2,4,4,9,7,21,1,8,5,9,0
17.0,107,53,61,89,160,32,117,80,60,6,1,3,4,6,7,10,2,0,4,7,2
18.0,51,49,30,46,103,16,68,37,25,5,1,2,1,7,5,7,0,4,0,11,1
19.0,48,32,27,39,70,20,46,18,22,7,0,1,2,4,6,4,2,2,2,5,0
20.0,50,52,35,33,69,13,41,17,24,6,0,3,0,2,3,4,2,2,5,3,2
21.0,92,61,32,73,96,39,105,43,41,7,0,1,1,10,2,3,1,2,6,3,1
22.0,159,146,79,116,162,52,118,77,63,12,3,10,5,10,7,11,3,1,1,3,7
23.0,223,179,92,186,221,74,178,117,100,25,3,7,3,15,5,15,4,5,3,5,9
