hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,112,80,24,31,72,61,31,23,29,3,51,17,12,7,31,10,6,12,21,14,15,16,48,59,27,9,14,15,18,5,3,1,6,12,11
1.0,125,96,33,31,65,48,30,27,22,17,49,15,21,13,24,4,6,10,29,12,10,18,39,77,21,16,16,24,12,6,4,6,7,8,13
2.0,98,108,36,25,83,52,33,22,32,19,56,24,16,9,32,17,6,16,25,6,12,32,61,62,21,13,38,24,17,13,3,7,4,16,19
3.0,125,114,36,35,59,69,44,43,29,14,58,24,19,13,36,12,14,19,33,18,18,26,57,102,27,14,26,26,17,5,4,11,8,17,17
4.0,101,89,41,27,59,59,29,35,32,18,64,14,20,7,32,9,11,10,23,15,12,29,62,104,29,16,43,34,15,8,4,8,3,10,22
5.0,115,125,32,27,74,75,39,27,26,14,53,23,25,9,33,11,15,11,26,18,18,30,47,88,31,19,30,32,12,11,2,7,7,10,14
6.0,105,229,40,34,62,61,40,29,29,15,59,34,21,4,28,10,11,17,20,10,18,34,87,92,16,10,35,41,11,4,2,2,10,7,16
7.0,108,96,40,36,65,69,39,28,26,18,56,25,16,10,37,8,9,23,22,67,27,19,68,90,33,14,38,29,14,6,4,6,9,11,14
8.0,127,102,44,30,64,65,47,39,25,8,57,35,19,10,26,7,14,19,25,15,11,28,49,94,20,6,36,35,12,5,3,12,11,14,19
9.0,147,158,36,35,76,74,41,17,38,6,68,43,27,9,53,10,7,21,42,15,18,32,81,106,22,20,28,39,14,8,3,7,8,16,20
10.0,145,134,41,36,73,85,52,43,39,10,76,37,17,12,39,15,17,17,26,10,18,38,63,121,26,14,23,31,24,8,2,7,11,21,17
11.0,176,143,51,46,75,99,54,34,25,9,70,65,21,10,59,18,20,16,45,15,24,52,81,141,35,12,31,47,16,10,1,7,9,21,30
12.0,172,139,51,60,99,124,61,38,47,11,103,55,20,12,64,17,24,18,27,23,26,32,81,162,36,10,37,51,49,10,7,13,19,17,32
13.0,162,153,61,51,140,109,75,41,47,9,100,52,32,3,53,14,17,19,39,32,23,47,105,172,33,13,41,55,58,11,3,14,11,10,49
14.0,190,174,57,70,107,91,63,42,52,12,93,59,34,13,52,13,16,16,35,18,22,66,97,149,34,17,30,42,34,7,7,11,5,12,23
15.0,129,130,30,60,73,62,73,23,35,7,78,95,32,7,60,15,21,16,31,22,18,52,82,122,22,20,20,53,30,9,6,11,7,19,24
16.0,98,110,20,33,60,58,38,18,25,6,39,29,14,3,22,7,9,15,26,39,17,22,68,68,17,12,7,17,13,5,2,4,9,13,17
17.0,71,51,13,20,35,34,24,12,15,4,27,13,13,2,13,4,5,3,16,12,9,21,29,41,10,6,9,16,10,10,3,5,1,8,12
18.0,46,32,15,12,31,27,15,7,10,0,28,8,6,3,10,6,6,2,7,4,6,9,27,37,16,3,13,11,4,3,1,4,0,4,6
19.0,50,25,7,8,17,19,15,5,9,3,19,4,6,0,7,2,3,1,11,2,4,12,22,16,10,5,3,7,1,4,0,2,3,2,4
20.0,28,28,7,9,15,13,10,2,8,0,16,6,8,3,6,1,5,4,7,2,6,8,13,23,8,1,1,5,4,2,0,3,1,2,5
21.0,57,27,11,7,23,14,8,9,10,1,10,6,3,4,11,4,4,3,7,3,7,10,16,19,14,5,7,8,3,3,0,1,2,5,4
22.0,44,49,21,13,36,13,12,9,14,4,26,14,13,6,17,6,2,6,5,16,10,6,25,31,15,7,10,16,8,2,1,5,5,6,9
23.0,99,77,22,18,70,31,26,22,20,3,44,16,17,9,20,7,11,5,18,4,12,14,33,47,22,9,10,21,16,8,1,18,9,7,11
