hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,332,135,263,145,90,215,87,110,129,81,99,23,91,43,42,12,3,35,13,57,25,14,13,20,3
1.0,330,154,299,172,117,229,86,99,132,80,119,28,83,40,58,23,3,29,19,50,22,15,21,23,1
2.0,333,173,276,128,111,248,89,86,119,85,96,26,107,53,47,18,1,28,25,37,22,15,10,37,3
3.0,520,252,455,256,159,346,126,150,193,106,133,38,129,76,80,32,7,56,38,83,43,32,27,34,5
4.0,431,157,324,182,112,234,93,123,163,79,116,21,125,62,82,23,4,31,31,68,28,15,17,26,12
5.0,349,162,319,150,130,270,94,131,161,82,112,27,109,47,61,18,7,28,31,69,13,18,20,27,0
6.0,364,150,334,182,123,232,93,108,141,89,109,24,104,61,57,19,1,37,22,76,14,14,20,42,3
7.0,412,171,344,182,148,286,81,144,159,105,130,26,103,79,92,23,10,31,27,85,21,33,17,29,11
8.0,519,212,454,245,139,407,120,138,200,98,152,24,147,115,98,22,5,39,33,90,27,21,18,33,3
9.0,579,224,516,241,200,473,131,213,244,119,163,42,163,119,108,31,6,63,30,108,36,38,25,34,6
10.0,577,222,561,266,183,477,137,183,224,114,144,40,190,125,125,17,3,45,42,112,37,34,25,55,6
11.0,641,345,637,306,205,532,139,215,276,144,195,47,208,161,126,46,11,66,48,145,33,42,31,57,5
12.0,698,303,646,312,227,489,133,183,231,141,181,54,201,123,125,34,8,71,39,140,50,40,40,58,13
13.0,639,274,622,296,241,451,142,192,260,144,209,57,220,125,136,31,12,77,53,158,37,31,34,57,4
14.0,714,294,599,282,248,520,150,240,255,126,181,55,227,99,121,36,11,54,49,126,42,32,35,68,10
15.0,532,194,449,211,200,400,113,149,196,115,131,33,174,88,104,27,5,43,56,104,26,26,21,47,10
16.0,347,138,325,142,139,261,86,113,162,75,91,27,127,50,91,23,4,36,24,82,22,14,21,41,2
17.0,268,106,213,76,91,238,60,99,107,53,70,10,67,45,47,14,0,25,26,38,7,11,4,22,4
18.0,158,62,155,49,58,119,35,55,64,39,23,10,28,27,37,13,0,12,8,28,10,6,12,18,1
19.0,151,76,99,47,35,109,44,52,69,25,38,12,35,16,28,11,1,13,14,24,5,8,8,16,2
20.0,130,58,105,43,51,104,41,41,59,28,42,7,31,17,10,9,6,13,10,23,4,9,6,8,2
21.0,150,102,124,56,53,116,48,48,59,32,47,15,34,28,20,5,2,16,27,26,6,7,7,19,1
22.0,257,109,144,84,72,176,44,68,80,46,79,21,75,32,32,5,2,36,10,48,14,9,13,16,5
23.0,354,198,232,167,95,253,86,115,152,66,110,23,88,57,31,18,2,33,24,74,25,16,16,23,4
