hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,296,184,253,179,117,246,53,111,131,96,117,22,96,47,33,11,2,31,23,50,12,15,16,27,1
1.0,367,216,279,198,163,298,92,95,149,96,128,32,111,61,69,9,4,21,24,78,26,18,22,37,5
2.0,394,193,277,225,139,279,81,148,155,98,133,36,120,56,61,25,5,39,30,77,19,20,20,22,3
3.0,398,227,374,270,165,340,102,133,196,112,131,29,127,66,84,15,3,41,36,86,23,13,23,38,8
4.0,406,215,357,211,126,318,78,111,149,113,118,25,113,62,79,26,2,38,23,107,20,16,17,31,3
5.0,421,196,328,185,168,307,87,110,158,100,119,21,132,61,59,22,1,31,38,83,19,22,25,31,5
6.0,355,172,344,183,133,295,90,117,145,99,108,40,135,59,71,21,1,31,21,107,21,28,12,34,4
7.0,380,186,371,193,142,303,75,123,151,113,93,36,146,53,83,21,5,28,26,107,17,28,20,30,9
8.0,433,196,422,205,154,360,84,130,158,101,133,35,136,88,90,33,6,33,26,93,15,32,24,36,2
9.0,487,253,444,253,195,410,96,140,212,118,143,36,180,137,107,28,8,46,43,89,22,38,16,51,6
10.0,467,232,484,263,185,448,90,190,184,111,163,29,167,120,109,27,4,33,35,117,22,47,18,31,3
11.0,566,369,509,308,200,571,110,169,219,139,168,47,230,160,103,28,9,43,34,128,22,37,21,48,8
12.0,667,304,575,301,232,507,150,209,249,135,166,53,232,136,123,38,7,42,48,159,42,48,23,51,8
13.0,622,284,598,276,252,545,100,199,266,163,189,32,245,105,139,36,4,65,49,137,34,48,31,54,4
14.0,587,263,593,272,254,521,123,191,244,141,169,57,241,95,140,36,4,53,51,151,36,43,19,60,6
15.0,493,205,455,223,182,411,98,171,219,132,147,46,170,90,109,33,6,44,49,167,23,34,22,44,3
16.0,308,193,362,116,146,339,56,110,151,84,97,13,157,59,71,18,4,24,36,69,13,8,17,26,3
17.0,234,118,229,87,90,183,57,83,92,61,62,22,100,39,65,15,3,18,24,56,11,19,15,22,2
18.0,160,92,166,55,54,136,24,48,57,33,51,9,42,28,28,15,1,15,14,32,8,11,13,19,1
19.0,132,74,114,51,42,118,32,48,80,31,43,12,37,18,28,6,1,13,11,36,5,13,6,17,1
20.0,119,66,78,38,49,111,27,25,44,25,33,9,22,17,21,11,1,12,15,13,6,5,4,7,2
21.0,158,75,101,59,63,114,39,47,63,44,35,7,49,21,20,8,2,11,14,14,4,6,6,11,0
22.0,200,107,115,82,63,143,41,67,63,36,55,10,43,21,20,11,0,20,13,33,6,8,5,17,4
23.0,285,189,223,126,112,249,60,87,121,68,80,31,79,37,46,23,2,18,25,53,17,19,9,13,6
