hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,427,182,284,166,139,265,88,93,157,69,120,33,89,50,36,10,5,20,26,59,14,37,17,18,5
1.0,390,206,317,162,140,321,82,138,158,86,131,23,111,60,44,19,2,35,28,76,34,20,13,26,5
2.0,402,202,357,218,168,310,67,132,155,90,116,39,120,69,47,21,5,31,33,70,16,20,18,35,7
3.0,468,192,356,211,151,351,89,146,186,89,140,37,113,68,67,29,4,35,33,102,27,38,12,39,4
4.0,429,205,312,214,164,329,109,108,170,92,136,33,130,55,69,25,5,40,23,97,20,22,22,45,3
5.0,407,181,348,211,160,338,78,127,169,97,170,24,119,54,54,22,2,28,29,95,21,21,25,23,1
6.0,405,163,343,195,153,314,87,122,171,88,107,35,139,59,62,19,5,36,26,83,11,17,10,32,3
7.0,387,218,365,214,190,366,79,139,168,99,131,36,149,68,72,24,3,39,27,104,20,24,22,47,5
8.0,453,217,438,223,163,381,96,176,224,103,143,35,164,102,79,18,3,37,30,96,26,25,17,35,7
9.0,486,266,477,221,227,467,128,147,221,129,160,35,186,127,96,25,3,36,33,107,29,38,26,56,4
10.0,521,326,462,213,212,446,100,176,245,120,170,54,211,113,94,35,4,42,40,130,29,42,21,39,5
11.0,662,277,536,278,232,572,123,258,268,129,165,39,250,160,111,37,4,34,46,126,29,51,36,42,7
12.0,660,290,646,324,278,585,136,259,281,137,193,61,289,156,127,30,4,33,53,156,24,50,35,49,1
13.0,702,292,595,304,260,547,151,240,300,173,201,36,271,140,136,45,6,51,58,150,33,49,44,58,6
14.0,641,280,601,274,263,479,104,230,263,138,200,51,270,100,121,37,9,44,43,140,29,33,39,54,7
15.0,518,194,480,230,203,412,87,183,218,156,113,39,206,188,89,33,5,39,42,113,21,32,23,39,5
16.0,343,135,290,112,118,255,81,109,135,73,87,19,113,64,78,19,3,36,30,81,18,19,10,30,2
17.0,239,92,194,73,75,185,50,68,118,57,59,12,60,45,42,11,2,16,21,49,7,10,16,27,6
18.0,149,82,129,49,46,116,34,55,63,25,41,9,36,23,22,8,2,4,15,41,3,14,9,15,2
19.0,118,59,72,31,41,113,40,46,56,27,32,5,35,24,29,11,1,6,11,20,7,5,7,9,0
20.0,118,74,62,42,37,108,30,40,42,28,26,8,24,31,19,3,1,8,14,16,6,6,4,8,0
21.0,146,85,98,56,47,129,40,46,58,36,65,10,35,29,21,7,0,18,14,21,6,5,9,13,3
22.0,236,133,184,125,89,194,52,78,89,55,93,17,70,27,43,10,4,20,21,63,12,13,4,15,2
23.0,330,204,361,141,141,281,69,90,134,71,124,24,98,57,50,15,6,21,36,66,11,18,21,19,4
