hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,282,136,266,163,108,211,89,103,99,84,92,29,88,38,32,15,2,32,28,49,21,24,22,28,7
1.0,358,158,276,166,115,219,98,101,158,79,110,33,97,46,50,23,1,30,29,68,12,20,21,33,3
2.0,326,162,282,187,113,227,96,95,140,83,94,26,84,44,47,30,0,46,18,48,26,18,14,25,3
3.0,501,230,475,263,169,309,161,137,194,150,147,36,145,69,69,24,3,36,32,122,28,42,20,41,8
4.0,389,173,330,219,108,264,132,112,163,108,117,39,128,54,66,31,1,38,30,82,17,16,17,23,4
5.0,541,168,288,185,148,272,136,111,143,91,103,24,121,47,49,19,7,50,21,65,25,23,23,30,4
6.0,568,147,349,202,118,242,113,86,154,104,98,32,105,48,79,16,5,39,20,49,19,20,20,47,11
7.0,488,207,393,201,165,352,106,110,169,100,106,27,99,89,78,16,4,54,20,92,23,31,28,35,4
8.0,509,219,450,293,156,390,144,126,193,130,128,39,144,103,107,22,11,59,33,112,24,23,24,42,5
9.0,646,230,545,474,197,422,212,179,243,256,140,65,218,124,116,41,6,60,50,217,27,42,37,60,8
10.0,783,242,698,1013,240,451,287,193,261,491,146,146,295,124,136,69,8,111,48,322,61,49,29,88,6
11.0,872,311,757,891,278,571,274,228,332,404,194,111,243,130,126,63,9,97,39,251,58,53,32,87,12
12.0,807,284,787,762,304,522,275,214,305,339,184,112,260,107,172,62,8,118,40,239,51,52,39,71,16
13.0,875,314,847,729,276,561,281,239,336,330,212,82,252,103,167,58,9,103,38,265,73,34,46,71,18
14.0,719,272,738,534,269,538,247,236,290,291,188,66,235,101,141,60,8,105,37,186,60,27,44,76,11
15.0,577,174,535,342,220,395,175,197,226,189,165,59,200,102,104,29,3,65,30,146,47,36,29,51,9
16.0,331,118,324,179,120,261,103,97,136,111,94,20,116,51,82,29,0,46,35,71,19,13,16,38,6
17.0,240,85,217,98,78,186,83,81,99,49,59,17,64,42,51,18,2,18,32,56,11,13,12,25,1
18.0,151,57,130,61,61,114,44,43,63,52,42,10,37,21,19,6,0,28,14,36,10,8,11,12,1
19.0,124,80,130,40,40,127,45,42,68,41,37,9,39,24,26,11,2,12,23,26,7,2,7,14,3
20.0,134,74,96,74,44,85,47,40,57,33,35,17,33,17,24,6,3,11,17,19,11,0,7,14,0
21.0,181,85,139,149,43,125,53,62,84,56,62,22,43,26,25,17,2,30,17,45,17,10,8,12,6
22.0,317,117,240,277,113,175,92,87,92,122,83,51,81,41,55,17,4,51,16,75,29,5,17,29,2
23.0,435,191,324,422,130,263,139,108,140,216,127,47,95,40,66,24,1,50,24,99,35,16,26,31,6
