hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,84,93,31,70,40,25,28,35,30,101,8,18,14,15,6,5,26,2,6,2
1.0,95,101,22,83,27,32,29,29,21,125,21,13,8,7,7,15,27,3,3,2
2.0,104,83,21,73,41,28,35,32,19,104,6,7,8,2,6,15,21,1,0,1
3.0,165,107,74,120,57,41,39,35,33,148,12,16,15,4,9,19,17,5,4,2
4.0,101,80,58,86,38,35,33,34,33,113,5,10,15,5,8,13,10,2,4,6
5.0,124,68,30,71,31,29,32,31,24,104,11,11,5,3,6,14,21,3,3,0
6.0,110,77,27,67,39,26,44,33,33,99,12,12,3,4,9,9,13,0,3,3
7.0,125,82,36,81,42,33,40,43,25,148,10,7,9,5,13,15,19,2,7,3
8.0,130,100,22,74,48,35,48,28,34,148,13,17,2,4,8,7,20,2,5,2
9.0,163,106,26,124,69,31,49,45,37,229,17,12,16,5,12,12,24,2,4,4
10.0,166,111,37,120,69,39,61,52,53,255,13,14,16,13,18,13,27,2,5,5
11.0,180,137,49,148,79,45,63,44,60,294,17,35,31,5,13,13,31,2,5,3
12.0,182,152,37,177,124,49,85,49,76,290,27,18,18,9,29,24,28,7,10,5
13.0,191,155,76,174,116,65,91,46,90,243,22,26,16,10,25,19,28,2,7,6
14.0,191,147,36,167,103,54,85,57,77,279,26,25,25,7,21,14,21,7,8,2
15.0,163,103,39,126,83,36,64,49,53,185,11,16,11,4,7,13,18,1,6,4
16.0,101,48,20,78,41,20,38,27,34,128,11,10,4,3,8,10,10,0,2,4
17.0,79,38,14,55,21,12,27,14,19,72,4,11,2,4,7,9,5,2,6,1
18.0,41,26,11,29,17,13,9,22,9,46,5,5,4,3,1,5,3,1,2,0
19.0,40,13,10,15,11,15,11,16,8,58,4,7,2,1,2,5,10,0,1,2
20.0,47,32,13,33,20,18,14,19,10,53,0,4,5,10,1,6,7,0,3,2
21.0,48,56,20,57,26,19,15,20,17,83,8,1,5,14,5,7,6,0,5,0
22.0,102,145,23,115,41,19,47,29,24,138,8,12,10,14,4,10,16,3,7,6
23.0,149,161,40,112,37,31,55,42,32,174,16,17,10,10,11,12,20,4,6,4
