hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,462,194,157,187,402,151,366,127,115,25,4,10,3,8,4,17,3,1,7,11,3
1.0,454,223,197,232,463,179,413,164,160,21,1,9,7,11,8,28,5,3,6,12,4
2.0,408,216,217,232,518,201,469,178,217,25,1,10,3,14,3,29,2,2,7,8,4
3.0,443,207,179,261,544,216,484,167,437,27,3,15,10,19,10,24,2,2,12,14,5
4.0,421,214,210,185,474,184,435,151,190,28,5,15,2,21,7,19,5,1,9,14,8
5.0,405,184,167,230,418,148,374,143,166,28,5,11,2,20,1,21,5,5,6,11,3
6.0,367,222,166,234,415,171,361,142,137,25,8,10,7,26,9,13,8,2,9,9,2
7.0,404,150,201,262,507,161,372,170,168,17,3,7,5,19,8,29,1,3,6,16,5
8.0,454,173,200,297,489,181,425,187,215,28,3,8,8,18,9,27,3,6,7,19,12
9.0,532,224,217,297,619,254,518,172,257,28,3,11,12,16,5,21,3,2,11,19,4
10.0,527,190,250,346,650,239,523,184,219,31,5,15,8,20,7,30,5,3,7,17,7
11.0,572,182,284,412,669,240,554,237,308,31,4,13,10,23,10,38,4,3,10,24,15
12.0,602,189,267,415,695,284,627,269,297,38,5,12,11,11,7,37,5,2,15,29,15
13.0,602,193,277,414,720,289,703,303,336,31,7,22,6,16,12,34,2,6,4,28,17
14.0,451,146,335,427,685,222,605,323,423,33,10,13,10,17,17,38,2,6,10,15,10
