hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,315,127,100,190,303,101,180,112,94,18,2,6,5,14,7,41,2,0,3,12,2
1.0,279,144,93,213,302,85,182,110,106,15,5,5,3,11,5,21,0,5,4,15,4
2.0,305,127,95,209,304,117,222,116,106,25,2,3,7,7,9,12,1,1,5,6,3
3.0,490,195,158,254,466,126,327,197,205,26,4,6,7,14,8,17,5,3,8,11,7
4.0,337,156,137,221,337,96,266,135,131,15,1,5,4,9,6,14,1,5,2,14,3
5.0,316,119,112,218,296,106,212,120,123,21,2,10,5,21,6,18,0,4,5,9,3
6.0,386,140,97,179,322,101,222,128,139,25,5,3,2,14,5,21,4,3,10,7,8
7.0,374,150,149,220,364,126,250,128,141,14,4,4,2,16,7,20,2,1,8,10,8
8.0,490,222,172,282,524,132,345,159,190,22,2,7,6,17,4,24,6,4,4,18,9
9.0,633,224,162,327,640,176,427,227,225,29,0,8,7,13,6,24,2,0,7,19,7
10.0,693,209,180,316,633,211,435,208,228,38,2,6,2,17,12,29,2,2,6,18,9
11.0,726,189,228,405,705,202,474,282,273,33,4,11,12,17,11,40,4,6,8,20,15
12.0,693,188,211,429,763,218,462,301,325,50,7,10,6,16,12,35,3,5,7,28,23
13.0,746,182,296,463,787,254,485,309,306,38,2,10,7,24,13,31,5,7,5,29,13
14.0,629,152,251,401,727,226,543,339,336,32,8,5,6,17,9,32,3,6,10,25,15
15.0,363,99,169,268,449,148,313,193,231,33,1,4,4,11,10,32,1,4,4,13,6
16.0,205,72,118,156,258,82,208,136,100,16,3,3,1,7,8,12,2,2,5,21,4
17.0,117,67,55,82,163,35,120,49,67,10,1,5,1,9,4,11,0,1,4,5,4
18.0,68,33,43,57,108,20,75,29,30,2,0,0,2,14,3,4,2,3,5,11,1
19.0,49,49,37,44,90,18,59,23,20,4,1,1,0,1,0,3,0,2,3,3,4
20.0,72,55,28,54,86,18,51,24,16,5,0,3,1,7,2,1,1,2,4,0,0
21.0,164,106,54,72,155,45,94,41,58,10,0,1,3,5,5,6,1,1,3,3,4
22.0,318,133,84,173,307,82,181,100,99,18,3,6,2,11,2,14,0,0,3,16,4
23.0,338,162,130,233,346,113,232,165,123,18,5,5,3,12,6,16,2,3,8,13,5
