hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,106,100,45,21,46,53,31,25,27,8,53,22,36,4,44,12,7,7,16,9,13,16,55,72,23,25,8,31,10,5,1,13,4,10,11
1.0,109,100,36,30,62,66,32,23,36,11,53,21,26,14,40,11,7,13,21,10,15,22,46,84,15,26,19,29,13,5,2,19,4,7,9
2.0,112,119,46,20,92,66,35,32,31,14,60,22,43,13,35,11,6,12,18,14,22,25,33,83,26,13,25,31,14,9,3,11,10,8,17
3.0,138,122,53,29,79,78,27,34,31,15,69,28,46,11,37,10,15,10,28,10,10,36,57,103,29,22,36,30,17,11,5,5,4,20,22
4.0,118,98,30,26,82,73,33,25,30,13,51,18,32,5,31,9,15,13,27,12,8,27,59,95,17,31,30,38,14,3,4,19,8,3,16
5.0,99,99,56,31,63,80,53,23,35,20,74,17,32,9,31,7,5,18,29,16,16,38,57,80,33,45,29,28,12,13,4,10,5,14,20
6.0,101,128,34,22,65,92,43,29,27,16,53,29,34,8,30,10,15,18,18,23,14,35,52,89,21,39,27,27,18,6,3,8,3,9,16
7.0,106,106,58,36,55,78,47,29,25,13,70,37,27,10,40,6,21,17,19,92,12,28,63,96,25,23,23,30,13,6,2,7,8,15,16
8.0,145,136,53,40,65,66,44,39,29,15,60,24,27,5,46,15,14,16,23,22,20,49,56,99,17,25,25,33,20,3,4,9,6,22,24
9.0,125,164,58,30,65,67,61,25,32,21,61,41,34,9,45,7,14,21,37,18,19,28,83,103,20,22,26,29,21,2,3,7,5,18,27
10.0,158,133,49,32,88,73,55,23,29,9,79,32,20,9,31,14,11,20,19,20,14,35,79,126,22,10,30,44,23,6,4,15,9,15,18
11.0,175,156,45,44,93,99,62,42,42,14,98,48,32,9,41,17,24,15,35,19,18,47,97,135,24,17,26,44,32,5,2,10,15,11,24
12.0,174,204,58,57,81,97,91,32,43,8,105,78,39,5,55,14,11,23,32,28,25,51,104,149,28,17,38,50,26,10,7,8,13,29,26
13.0,187,214,88,57,102,105,74,22,52,10,85,50,43,10,48,16,21,22,46,35,31,62,119,154,34,12,32,64,34,11,5,10,7,19,22
14.0,210,213,57,55,83,90,82,32,43,12,85,64,46,11,53,11,13,16,36,54,37,55,122,144,34,27,29,50,40,5,6,13,9,21,23
15.0,151,157,45,49,66,66,65,21,35,7,108,40,27,9,58,13,11,16,38,21,21,37,88,111,28,16,27,35,27,6,2,4,11,12,16
16.0,89,107,26,34,55,40,41,13,30,5,56,23,20,13,15,9,8,11,15,14,14,26,49,82,19,9,14,22,17,6,2,5,5,4,10
17.0,82,71,22,22,41,27,19,12,16,0,36,16,18,7,15,2,7,3,7,4,11,25,19,41,10,12,8,19,6,2,1,6,2,9,11
18.0,49,52,12,8,18,15,11,5,4,4,17,8,6,7,5,6,4,5,8,8,7,9,17,23,8,6,7,9,3,1,0,4,3,5,3
19.0,35,31,6,7,21,18,6,11,7,1,18,0,6,4,10,6,3,4,5,3,5,19,23,24,11,6,4,6,1,3,0,3,4,4,7
20.0,33,27,8,8,22,12,7,11,3,2,11,4,8,6,4,5,6,2,8,2,7,9,13,29,7,1,4,9,4,3,2,1,0,3,7
21.0,39,38,10,9,23,25,18,8,5,4,20,5,17,6,17,2,8,1,8,6,9,8,10,22,7,7,7,7,8,3,0,4,4,1,7
22.0,70,51,30,12,30,28,8,15,16,5,27,9,23,4,22,4,5,2,6,13,16,16,31,25,15,10,9,10,6,6,1,7,1,6,7
23.0,91,98,73,32,63,36,24,18,24,8,38,9,43,11,24,5,11,8,14,40,25,24,39,46,15,16,10,24,17,8,3,6,6,8,13
