hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,54,415,53,48,9,86,22,14,45,22,107,24,9,40,10,14,18,7,1,0,1,6
1.0,38,408,54,23,9,95,22,9,50,27,104,31,8,48,17,15,10,11,5,2,3,2
2.0,53,431,57,37,16,105,20,9,47,28,77,30,8,40,21,15,17,12,8,0,3,2
3.0,74,690,93,60,11,146,27,13,81,46,172,44,9,63,19,29,20,28,5,6,2,1
4.0,70,572,81,52,7,84,19,6,66,24,124,25,6,52,18,18,15,17,3,0,2,2
5.0,43,492,103,38,16,118,17,15,89,24,113,32,2,51,11,13,26,21,3,6,0,2
6.0,53,548,100,48,17,96,25,18,71,46,122,29,6,33,15,17,24,16,2,4,1,2
7.0,65,629,135,51,34,110,38,16,81,32,127,29,7,53,16,24,21,24,0,3,2,3
8.0,85,693,181,73,41,141,33,14,119,44,167,50,17,57,26,21,29,22,4,5,2,5
9.0,79,806,221,66,45,145,57,18,102,49,174,47,26,58,31,16,25,26,9,9,1,5
10.0,96,768,187,75,38,140,45,14,119,47,178,47,21,60,35,26,27,25,9,12,3,5
11.0,107,820,251,89,54,105,79,23,113,69,234,36,22,53,41,21,34,31,8,5,4,3
12.0,121,776,236,92,50,160,60,41,131,61,172,48,24,71,41,35,24,40,4,10,2,1
13.0,117,800,236,103,49,176,70,25,113,63,221,61,24,62,34,30,30,32,7,6,3,2
14.0,85,840,229,95,43,148,57,14,105,62,207,48,28,66,42,32,30,31,7,1,3,2
15.0,59,601,151,48,26,139,31,9,75,50,137,37,10,42,27,20,18,26,8,2,3,3
16.0,34,393,91,26,16,76,18,11,59,35,62,27,3,29,12,9,9,9,4,3,1,2
17.0,16,274,66,8,11,51,13,7,27,22,55,18,4,17,14,8,6,6,3,0,5,0
18.0,14,178,37,10,8,35,9,1,30,10,32,22,5,9,3,2,6,6,2,0,0,0
19.0,21,125,29,13,6,54,2,4,16,5,29,10,1,12,5,3,2,1,0,0,1,0
20.0,11,129,31,7,11,37,7,2,11,6,28,11,4,12,7,2,4,3,0,2,0,0
21.0,24,253,32,20,4,40,15,6,31,11,70,19,3,27,7,8,6,9,1,2,1,1
22.0,41,533,51,44,13,76,21,14,41,23,136,36,10,43,12,21,15,10,4,3,2,1
23.0,66,537,57,49,12,116,22,22,71,39,119,37,6,67,11,12,17,13,4,1,2,3
