hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,117,111,34,118,36,24,26,40,25,137,11,16,10,14,3,9,16,2,2,0
1.0,141,114,30,81,39,48,43,46,33,124,10,13,7,47,3,12,12,3,3,3
2.0,105,87,25,115,38,39,35,35,22,122,8,12,18,2,13,13,57,3,4,7
3.0,161,144,46,157,59,51,50,62,44,216,8,14,15,6,18,17,45,1,6,1
4.0,126,94,37,128,48,43,48,34,28,174,7,19,10,11,10,13,28,2,2,0
5.0,121,77,32,124,38,52,38,45,25,160,6,14,10,4,4,5,33,0,6,0
6.0,97,83,29,106,55,32,35,38,19,150,12,12,12,3,16,5,21,1,3,1
7.0,132,94,35,106,46,27,49,48,34,170,15,13,12,7,7,24,18,0,3,1
8.0,138,80,40,163,54,40,48,46,29,225,9,14,6,8,10,14,24,1,4,2
9.0,217,126,46,193,51,69,59,48,44,263,9,17,14,6,9,9,37,6,5,4
10.0,232,145,46,258,71,48,59,44,59,342,10,33,13,11,22,9,38,4,6,3
11.0,237,171,46,235,91,65,60,60,57,347,23,26,7,15,12,18,41,2,5,4
12.0,240,188,47,252,108,84,96,45,72,374,21,17,12,16,13,18,39,5,12,9
13.0,256,178,53,279,114,60,73,86,89,371,18,33,19,6,26,14,34,2,9,5
14.0,261,157,46,244,113,61,88,55,56,303,21,22,18,7,21,25,29,4,8,7
15.0,154,131,37,187,74,43,68,54,57,213,14,22,18,7,15,19,25,0,5,4
16.0,115,60,22,80,42,31,40,39,24,167,4,10,8,2,5,6,18,1,2,4
17.0,106,26,20,76,28,12,23,14,26,74,6,4,5,2,4,9,10,1,3,2
18.0,60,21,11,28,18,15,12,21,21,61,3,7,3,0,2,0,6,0,1,0
19.0,40,11,15,29,19,12,17,12,11,52,3,5,2,0,2,7,6,0,3,1
20.0,45,23,10,23,20,10,9,12,9,48,4,2,4,4,5,12,6,1,2,1
21.0,98,66,12,51,26,23,11,21,16,84,8,10,9,18,4,10,7,0,4,1
22.0,130,165,15,117,37,18,52,29,28,177,5,10,6,10,4,12,15,1,4,0
23.0,174,142,34,152,55,44,44,47,48,206,13,12,12,10,14,11,29,1,3,0
