hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,340,230,122,343,393,112,252,142,163,21,4,4,9,18,6,22,1,3,3,12,14
1.0,397,178,116,285,400,115,259,153,156,24,2,4,3,15,13,15,4,8,5,12,6
2.0,360,226,132,332,400,125,290,158,158,30,10,11,5,9,8,12,1,10,7,10,8
3.0,384,195,158,296,461,112,286,171,151,16,0,3,4,15,13,29,3,4,3,11,7
4.0,365,254,132,301,461,128,314,156,163,18,5,2,2,12,7,14,3,6,4,7,7
5.0,334,364,129,298,433,126,280,149,159,24,2,4,4,13,4,26,1,3,6,6,9
6.0,331,355,139,274,360,109,304,132,138,26,2,6,4,15,5,20,3,2,4,12,7
7.0,368,335,126,296,451,136,335,153,159,40,4,10,8,17,8,19,4,4,5,11,15
8.0,397,354,160,369,485,144,330,163,198,40,1,4,6,16,7,14,2,5,11,20,8
9.0,422,306,137,344,530,140,404,158,179,28,10,5,5,21,11,22,1,3,4,14,15
10.0,407,262,158,333,432,165,337,196,177,27,5,10,9,10,8,30,2,1,6,17,15
11.0,484,229,185,369,609,197,403,191,251,29,2,5,8,11,6,36,2,6,3,17,8
12.0,537,246,210,418,715,222,467,231,220,41,3,8,4,14,9,41,4,8,12,23,4
13.0,568,260,216,550,727,234,512,285,261,37,4,12,8,11,15,41,3,4,10,31,12
14.0,515,214,204,423,641,202,480,242,241,29,6,10,6,15,7,36,2,5,4,27,13
15.0,352,197,173,270,481,142,355,184,194,33,2,5,8,21,7,32,3,2,6,21,4
16.0,206,111,104,182,290,68,226,91,102,18,2,2,5,7,1,13,0,0,5,10,4
17.0,114,81,62,101,161,42,139,48,55,14,1,3,2,11,2,20,1,3,5,3,5
18.0,71,69,53,59,113,19,80,30,45,6,3,0,3,7,5,9,2,0,1,11,5
19.0,51,39,26,52,79,17,60,17,28,8,2,4,4,4,4,8,2,0,5,4,2
20.0,58,57,29,43,85,21,54,29,13,5,2,1,3,6,5,6,0,1,5,0,4
21.0,139,74,35,86,140,38,100,37,35,9,2,2,5,13,5,8,2,0,0,4,4
22.0,233,114,64,164,220,59,128,65,63,12,4,4,2,11,5,18,1,0,3,10,7
23.0,313,160,109,267,299,122,222,134,124,29,4,4,2,15,7,19,2,2,10,11,7
